Input,K,GY,LGY,Total,K_percent,GY_percent,LGY_percent
127,5080,16045,1270,22395,22.68,71.65,5.67
128,5120,16160,1280,22560,22.70,71.63,5.67
129,5160,16275,1290,22725,22.71,71.62,5.68
130,5200,16390,1300,22890,22.72,71.60,5.68
131,5240,16505,1310,23055,22.73,71.59,5.68
132,5280,16620,1320,23220,22.74,71.58,5.68
133,5320,16735,1330,23385,22.75,71.56,5.69
134,5360,16850,1340,23550,22.76,71.55,5.69
135,5400,16965,1350,23715,22.77,71.54,5.69
136,5440,17080,1360,23880,22.78,71.52,5.70
137,5480,17195,1370,24045,22.79,71.51,5.70
138,5520,17310,1380,24210,22.80,71.50,5.70
139,5560,17425,1390,24375,22.81,71.49,5.70
140,5600,17540,1400,24540,22.82,71.48,5.70
141,5640,17655,1410,24705,22.83,71.46,5.71
142,5680,17770,1420,24870,22.84,71.45,5.71
143,5720,17885,1430,25035,22.85,71.44,5.71
144,5760,18000,1440,25200,22.86,71.43,5.71
145,5800,18115,1450,25365,22.87,71.42,5.72
146,5840,18230,1460,25530,22.88,71.41,5.72
147,5880,18345,1470,25695,22.88,71.40,5.72
148,5920,18460,1480,25860,22.89,71.38,5.72
149,5960,18575,1490,26025,22.90,71.37,5.73
150,6000,18690,1500,26190,22.91,71.36,5.73
151,6040,18805,1510,26355,22.92,71.35,5.73
152,6080,18920,1520,26520,22.93,71.34,5.73
153,6120,19035,1530,26685,22.93,71.33,5.73
154,6160,19150,1540,26850,22.94,71.32,5.74
155,6200,19265,1550,27015,22.95,71.31,5.74
156,6240,19380,1560,27180,22.96,71.30,5.74
157,6280,19495,1570,27345,22.97,71.29,5.74
158,6320,19610,1580,27510,22.97,71.28,5.74
159,6360,19725,1590,27675,22.98,71.27,5.75
160,6400,19840,1600,27840,22.99,71.26,5.75
161,6440,19955,1610,28005,23.00,71.26,5.75
162,6480,20070,1620,28170,23.00,71.25,5.75
163,6520,20185,1630,28335,23.01,71.24,5.75
164,6560,20300,1640,28500,23.02,71.23,5.75
165,6600,20415,1650,28665,23.02,71.22,5.76
166,6640,20530,1660,28830,23.03,71.21,5.76
167,6680,20645,1670,28995,23.04,71.20,5.76
168,6720,20760,1680,29160,23.05,71.19,5.76
169,6760,20875,1690,29325,23.05,71.18,5.76
170,6800,20990,1700,29490,23.06,71.18,5.76
171,6840,21105,1710,29655,23.07,71.17,5.77
172,6880,21220,1720,29820,23.07,71.16,5.77
173,6920,21335,1730,29985,23.08,71.15,5.77
174,6960,21450,1740,30150,23.08,71.14,5.77
175,7000,21565,1750,30315,23.09,71.14,5.77
176,7040,21680,1760,30480,23.10,71.13,5.77
177,7080,21795,1770,30645,23.10,71.12,5.78
178,7120,21910,1780,30810,23.11,71.11,5.78
179,7160,22025,1790,30975,23.12,71.11,5.78
180,7200,22140,1800,31140,23.12,71.10,5.78
181,7240,22255,1810,31305,23.13,71.09,5.78
182,7280,22370,1820,31470,23.13,71.08,5.78
183,7320,22485,1830,31635,23.14,71.08,5.78
184,7360,22600,1840,31800,23.14,71.07,5.79
185,7400,22715,1850,31965,23.15,71.06,5.79
186,7440,22830,1860,32130,23.16,71.06,5.79
187,7480,22945,1870,32295,23.16,71.05,5.79
188,7520,23060,1880,32460,23.17,71.04,5.79
189,7560,23175,1890,32625,23.17,71.03,5.79
190,7600,23290,1900,32790,23.18,71.03,5.79
191,7640,23405,1910,32955,23.18,71.02,5.80
192,7680,23520,1920,33120,23.19,71.01,5.80
193,7720,23635,1930,33285,23.19,71.01,5.80
194,7760,23750,1940,33450,23.20,71.00,5.80
195,7800,23865,1950,33615,23.20,71.00,5.80
196,7840,23980,1960,33780,23.21,70.99,5.80
197,7880,24095,1970,33945,23.21,70.98,5.80
198,7920,24210,1980,34110,23.22,70.98,5.80
199,7960,24325,1990,34275,23.22,70.97,5.81
200,8000,24440,2000,34440,23.23,70.96,5.81
201,8040,24555,2010,34605,23.23,70.96,5.81
202,8080,24670,2020,34770,23.24,70.95,5.81
203,8120,24785,2030,34935,23.24,70.95,5.81
204,8160,24900,2040,35100,23.25,70.94,5.81
205,8200,25015,2050,35265,23.25,70.93,5.81
206,8240,25130,2060,35430,23.26,70.93,5.81
207,8280,25245,2070,35595,23.26,70.92,5.82
208,8320,25360,2080,35760,23.27,70.92,5.82
209,8360,25475,2090,35925,23.27,70.91,5.82
210,8400,25590,2100,36090,23.28,70.91,5.82
211,8440,25705,2110,36255,23.28,70.90,5.82
212,8480,25820,2120,36420,23.28,70.90,5.82
213,8520,25935,2130,36585,23.29,70.89,5.82
214,8560,26050,2140,36750,23.29,70.88,5.82
215,8600,26165,2150,36915,23.30,70.88,5.82
216,8640,26280,2160,37080,23.30,70.87,5.83
217,8680,26395,2170,37245,23.31,70.87,5.83
218,8720,26510,2180,37410,23.31,70.86,5.83
219,8760,26625,2190,37575,23.31,70.86,5.83
220,8800,26740,2200,37740,23.32,70.85,5.83
221,8840,26855,2210,37905,23.32,70.85,5.83
222,8880,26970,2220,38070,23.33,70.84,5.83
223,8920,27085,2230,38235,23.33,70.84,5.83
224,8960,27200,2240,38400,23.33,70.83,5.83
225,9000,27315,2250,38565,23.34,70.83,5.83
226,9040,27430,2260,38730,23.34,70.82,5.84
227,9080,27545,2270,38895,23.34,70.82,5.84
228,9120,27660,2280,39060,23.35,70.81,5.84
229,9160,27775,2290,39225,23.35,70.81,5.84
230,9200,27890,2300,39390,23.36,70.80,5.84
231,9240,28005,2310,39555,23.36,70.80,5.84
232,9280,28120,2320,39720,23.36,70.80,5.84
233,9320,28235,2330,39885,23.37,70.79,5.84
234,9360,28350,2340,40050,23.37,70.79,5.84
235,9400,28465,2350,40215,23.37,70.78,5.84
236,9440,28580,2360,40380,23.38,70.78,5.84
237,9480,28695,2370,40545,23.38,70.77,5.85
238,9520,28810,2380,40710,23.38,70.77,5.85
239,9560,28925,2390,40875,23.39,70.76,5.85
240,9600,29040,2400,41040,23.39,70.76,5.85
241,9640,29730,2410,41780,23.07,71.16,5.77
242,9680,30420,2420,42520,22.77,71.54,5.69
243,9720,31110,2430,43260,22.47,71.91,5.62
244,9760,31800,2440,44000,22.18,72.27,5.55
245,9800,32490,2450,44740,21.90,72.62,5.48
246,9840,33180,2460,45480,21.64,72.96,5.41
247,9880,33870,2470,46220,21.38,73.28,5.34
248,9920,34560,2480,46960,21.12,73.59,5.28
249,9960,35250,2490,47700,20.88,73.90,5.22
250,10000,35940,2500,48440,20.64,74.19,5.16
251,10040,36630,2510,49180,20.41,74.48,5.10
252,10080,37320,2520,49920,20.19,74.76,5.05
253,10120,38010,2530,50660,19.98,75.03,4.99
254,10160,38700,2540,51400,19.77,75.29,4.94
255,40000,5000,5000,50000,80.00,10.00,10.00
