Input,K_value,Diff_from_prev,Zone
167,20645,115,Midtone (Zone 2)
168,20760,115,Midtone (Zone 2)
169,20875,115,Midtone (Zone 2)
170,20990,115,Midtone (Zone 2)
171,21105,115,Midtone (Zone 2)
172,21220,115,Midtone (Zone 2)
173,21335,115,Midtone (Zone 2)
174,21450,115,Midtone (Zone 2)
175,21565,115,Midtone (Zone 2)
176,21680,115,Midtone (Zone 2)
177,21795,115,Midtone (Zone 2)
178,21910,115,Midtone (Zone 2)
179,22025,115,Midtone (Zone 2)
180,22140,115,Midtone (Zone 2)
181,22255,115,Midtone (Zone 2)
182,22370,115,Midtone (Zone 2)
183,22485,115,Midtone (Zone 2)
184,22600,115,Midtone (Zone 2)
185,22715,115,Midtone (Zone 2)
186,22830,115,Midtone (Zone 2)
187,22945,115,Midtone (Zone 2)
188,23060,115,Midtone (Zone 2)
189,23175,115,Midtone (Zone 2)
190,23290,115,Midtone (Zone 2)
191,23405,115,Midtone (Zone 2)
192,23520,115,Midtone (Zone 2)
193,23635,115,Midtone (Zone 2)
194,23750,115,Midtone (Zone 2)
195,23865,115,Midtone (Zone 2)
196,23980,115,Midtone (Zone 2)
197,24095,115,Midtone (Zone 2)
198,24210,115,Midtone (Zone 2)
199,24325,115,Midtone (Zone 2)
200,24440,115,Midtone (Zone 2)
201,24555,115,Midtone (Zone 2)
202,24670,115,Midtone (Zone 2)
203,24785,115,Midtone (Zone 2)
204,24900,115,Midtone (Zone 2)
205,25015,115,Midtone (Zone 2)
206,25130,115,Midtone (Zone 2)
207,25245,115,Midtone (Zone 2)
208,25360,115,Midtone (Zone 2)
209,25475,115,Midtone (Zone 2)
210,25590,115,Midtone (Zone 2)
211,25705,115,Midtone (Zone 2)
212,25820,115,Midtone (Zone 2)
213,25935,115,Midtone (Zone 2)
214,26050,115,Midtone (Zone 2)
215,26165,115,Midtone (Zone 2)
216,26280,115,Midtone (Zone 2)
217,26395,115,Midtone (Zone 2)
218,26510,115,Midtone (Zone 2)
219,26625,115,Midtone (Zone 2)
220,26740,115,Midtone (Zone 2)
221,26855,115,Midtone (Zone 2)
222,26970,115,Midtone (Zone 2)
223,27085,115,Midtone (Zone 2)
224,27200,115,Midtone (Zone 2)
225,27315,115,Midtone (Zone 2)
226,27430,115,Midtone (Zone 2)
227,27545,115,Midtone (Zone 2)
228,27660,115,Midtone (Zone 2)
229,27775,115,Midtone (Zone 2)
230,27890,115,Midtone (Zone 2)
231,28005,115,Midtone (Zone 2)
232,28120,115,Midtone (Zone 2)
233,28235,115,Midtone (Zone 2)
234,28350,115,Midtone (Zone 2)
235,28465,115,Midtone (Zone 2)
236,28580,115,Midtone (Zone 2)
237,28695,115,Midtone (Zone 2)
238,28810,115,Midtone (Zone 2)
239,28925,115,Midtone (Zone 2)
240,29040,115,Midtone (Zone 2)
241,29340,300,Highlight (Zone 3)
242,29640,300,Highlight (Zone 3)
243,29940,300,Highlight (Zone 3)
244,30240,300,Highlight (Zone 3)
245,30540,300,Highlight (Zone 3)
246,30840,300,Highlight (Zone 3)
247,31140,300,Highlight (Zone 3)
248,31440,300,Highlight (Zone 3)
249,31740,300,Highlight (Zone 3)
250,32040,300,Highlight (Zone 3)
251,32340,300,Highlight (Zone 3)
252,32640,300,Highlight (Zone 3)
253,32940,300,Highlight (Zone 3)
254,33240,300,Highlight (Zone 3)
255,40000,6760,Paper white
