Input,K,GY,LGY,GY_percent,LGY_percent
230,28991,870,870,3.00,3.00
231,29068,872,872,3.00,3.00
232,29140,874,874,3.00,3.00
233,29207,876,876,3.00,3.00
234,29269,878,878,3.00,3.00
235,29327,880,880,3.00,3.00
236,29382,881,881,3.00,3.00
237,29434,883,883,3.00,3.00
238,29484,885,885,3.00,3.00
239,29532,886,886,3.00,3.00
240,29580,887,887,3.00,3.00
241,29628,889,889,3.00,3.00
242,29676,890,890,3.00,3.00
243,29726,892,892,3.00,3.00
244,29778,893,893,3.00,3.00
245,29833,895,895,3.00,3.00
246,29891,897,897,3.00,3.00
247,29953,899,899,3.00,3.00
248,30020,901,901,3.00,3.00
249,30517,916,916,3.00,3.00
250,31014,930,930,3.00,3.00
251,31511,945,945,3.00,3.00
252,32009,960,960,3.00,3.00
253,32506,975,975,3.00,3.00
254,33003,990,990,3.00,3.00
255,40000,1200,1200,3.00,3.00
