Input,K
0,0
8,960
16,1944
24,2952
32,3960
40,4968
48,5976
56,6984
64,7992
72,9000
80,10008
88,11016
96,12024
104,13032
112,14040
120,15048
128,16056
136,17064
144,18072
152,19080
160,20088
168,21096
176,22104
184,23112
192,24120
200,25112
208,26072
216,26968
224,27768
232,28440
240,28952
248,29272
255,29368
