Input,K
0,0
8,2400
16,3372
24,4864
32,5264
40,6197
48,7531
56,9031
64,9864
72,10864
80,11364
88,11864
96,12489
104,13364
112,14293
120,15007
128,15721
136,16435
144,17086
152,17642
160,18614
168,19664
176,20531
184,21364
192,22531
200,23364
208,23864
216,24864
224,25499
232,26264
240,27128
248,28304
255,29752
