Input,K_value,Diff_from_prev,Zone
167,20593,115,Midtone (Zone 2)
168,20708,115,Midtone (Zone 2)
169,20823,115,Midtone (Zone 2)
170,20938,115,Midtone (Zone 2)
171,21053,115,Midtone (Zone 2)
172,21168,115,Midtone (Zone 2)
173,21283,115,Midtone (Zone 2)
174,21398,115,Midtone (Zone 2)
175,21513,115,Midtone (Zone 2)
176,21628,115,Midtone (Zone 2)
177,21743,115,Midtone (Zone 2)
178,21858,115,Midtone (Zone 2)
179,21973,115,Midtone (Zone 2)
180,22088,115,Midtone (Zone 2)
181,22203,115,Midtone (Zone 2)
182,22318,115,Midtone (Zone 2)
183,22433,115,Midtone (Zone 2)
184,22548,115,Midtone (Zone 2)
185,22663,115,Midtone (Zone 2)
186,22778,115,Midtone (Zone 2)
187,22893,115,Midtone (Zone 2)
188,23008,115,Midtone (Zone 2)
189,23123,115,Midtone (Zone 2)
190,23238,115,Midtone (Zone 2)
191,23353,115,Midtone (Zone 2)
192,23468,115,Midtone (Zone 2)
193,23583,115,Midtone (Zone 2)
194,23698,115,Midtone (Zone 2)
195,23813,115,Midtone (Zone 2)
196,23928,115,Midtone (Zone 2)
197,24043,115,Midtone (Zone 2)
198,24158,115,Midtone (Zone 2)
199,24273,115,Midtone (Zone 2)
200,24388,115,Midtone (Zone 2)
201,24503,115,Midtone (Zone 2)
202,24618,115,Midtone (Zone 2)
203,24733,115,Midtone (Zone 2)
204,24848,115,Midtone (Zone 2)
205,24963,115,Midtone (Zone 2)
206,25078,115,Midtone (Zone 2)
207,25193,115,Midtone (Zone 2)
208,25308,115,Midtone (Zone 2)
209,25423,115,Midtone (Zone 2)
210,25538,115,Midtone (Zone 2)
211,25653,115,Midtone (Zone 2)
212,25768,115,Midtone (Zone 2)
213,25883,115,Midtone (Zone 2)
214,25998,115,Midtone (Zone 2)
215,26113,115,Midtone (Zone 2)
216,26228,115,Midtone (Zone 2)
217,26343,115,Midtone (Zone 2)
218,26458,115,Midtone (Zone 2)
219,26573,115,Midtone (Zone 2)
220,26688,115,Midtone (Zone 2)
221,26803,115,Midtone (Zone 2)
222,26918,115,Midtone (Zone 2)
223,27033,115,Midtone (Zone 2)
224,27148,115,Midtone (Zone 2)
225,27263,115,Midtone (Zone 2)
226,27378,115,Midtone (Zone 2)
227,27493,115,Midtone (Zone 2)
228,27608,115,Midtone (Zone 2)
229,27723,115,Midtone (Zone 2)
230,27838,115,Midtone (Zone 2)
231,27953,115,Midtone (Zone 2)
232,28068,115,Midtone (Zone 2)
233,28183,115,Midtone (Zone 2)
234,28298,115,Midtone (Zone 2)
235,28413,115,Midtone (Zone 2)
236,28528,115,Midtone (Zone 2)
237,28643,115,Midtone (Zone 2)
238,28758,115,Midtone (Zone 2)
239,28873,115,Midtone (Zone 2)
240,29400,527,Midtone (Zone 2)
241,29712,312,Highlight (Zone 3)
242,30025,313,Highlight (Zone 3)
243,30338,313,Highlight (Zone 3)
244,30650,312,Highlight (Zone 3)
245,30962,312,Highlight (Zone 3)
246,31275,313,Highlight (Zone 3)
247,31588,313,Highlight (Zone 3)
248,31900,312,Highlight (Zone 3)
249,32171,271,Highlight (Zone 3)
250,32443,272,Highlight (Zone 3)
251,32714,271,Highlight (Zone 3)
252,32986,272,Highlight (Zone 3)
253,33257,271,Highlight (Zone 3)
254,33529,272,Highlight (Zone 3)
255,33800,271,Highlight (Zone 3)
