Input,K,Density_measured,Target_Density_v3,Density_diff_measured,Notes
0,0,1.44,1.41,0.00,
8,2520,1.38,1.38,0.06,
16,2960,1.36,1.32,0.02,
24,3400,1.34,1.29,0.02,
32,4060,1.31,1.26,0.03,
40,4940,1.28,1.22,0.03,
48,5820,1.29,1.18,-0.01,逆転
56,6700,1.25,1.13,0.04,
64,7580,1.21,1.08,0.04,
72,8680,1.12,1.03,0.09,
80,9780,1.05,0.98,0.07,
88,10880,0.95,0.93,0.10,
96,11980,0.91,0.88,0.04,
104,13080,0.84,0.83,0.07,
112,14180,0.78,0.78,0.06,
120,15280,0.68,0.73,0.10,
128,16380,0.59,0.68,0.09,
136,17480,0.55,0.63,0.04,
144,18580,0.49,0.58,0.06,
152,19680,0.45,0.53,0.04,
160,20780,0.40,0.48,0.05,
168,21880,0.35,0.43,0.05,
176,22980,0.31,0.38,0.04,
184,24080,0.27,0.34,0.04,
192,25180,0.24,0.30,0.03,
200,26280,0.21,0.26,0.03,
208,27160,0.19,0.23,0.02,
216,27820,0.18,0.20,0.01,
224,28480,0.16,0.17,0.02,
232,29140,0.15,0.15,0.01,
240,29580,0.15,0.13,0.00,
248,30020,0.14,0.11,0.01,紙白補正開始点
255,33500,0.11,0.09,0.03,紙白到達
