GRAY	Lab_L	A	B
0.00	94.123	-0.199	2.641
0.79	94.472	-0.199	2.639
1.57	93.849	0.139	2.762
2.36	93.124	-0.033	3.251
3.15	92.348	-0.372	3.137
3.94	91.822	0.480	2.895
4.72	92.072	-0.032	3.259
5.51	91.721	-0.032	3.262
6.30	88.446	-0.548	3.657
7.09	88.901	-0.032	3.284
7.87	87.407	-0.376	3.175
8.66	85.960	-0.551	3.679
9.45	86.672	-0.550	3.673
10.24	84.967	-0.205	3.811
11.02	85.579	-0.725	4.176
11.81	87.382	-0.549	3.666
12.60	83.177	-0.205	3.828
13.39	83.817	-0.553	3.699
14.17	82.022	-0.555	3.716
14.96	83.919	-0.031	3.325
15.75	83.483	-0.378	3.206
16.54	80.941	-0.556	3.727
17.32	82.459	-0.205	3.835
18.11	82.741	-0.554	3.709
18.90	79.857	-0.557	3.738
19.69	77.759	-0.205	3.883
20.47	74.813	-0.382	4.423
21.26	75.545	-0.382	4.414
22.05	77.395	-0.205	3.887
22.83	77.317	-0.560	3.763
23.62	78.824	-0.381	4.375
24.41	80.219	-0.557	3.734
25.20	73.552	-1.101	4.187
25.98	70.676	-0.746	4.349
26.77	73.184	-1.101	4.192
27.56	71.522	-0.206	3.952
28.35	74.366	-0.741	4.303
29.13	71.127	-0.383	4.470
29.92	73.263	-0.742	4.316
30.71	71.762	-0.922	4.847
31.50	68.841	-0.570	3.856
32.28	69.958	-0.568	3.843
33.07	68.468	-0.570	3.860
33.86	69.561	-0.748	4.363
34.65	68.014	-0.935	3.738
35.43	67.989	-1.115	4.256
36.22	65.793	-0.933	4.935
37.01	68.468	-0.570	3.860
37.80	67.989	-1.115	4.256
38.58	61.462	-1.690	4.744
39.37	62.331	-1.131	4.332
40.16	59.739	-0.763	4.501
40.94	62.712	-1.130	4.327
41.73	63.553	-0.757	4.445
42.52	64.228	-1.126	4.306
43.31	66.358	-1.847	5.191
44.09	59.299	-0.956	3.844
44.88	58.117	-1.144	4.394
45.67	58.227	-0.582	3.990
46.46	59.709	-0.769	3.307
47.24	59.023	-0.396	3.446
48.03	59.273	-1.141	4.376
48.82	59.739	-0.763	4.501
49.61	57.758	-0.960	3.864
50.39	54.958	-1.348	3.770
51.18	56.125	-1.343	3.754
51.97	51.030	-1.365	3.825
52.76	55.820	-0.965	3.890
53.54	54.678	-0.780	3.365
54.33	51.115	-0.978	3.958
55.12	53.085	-0.973	3.929
55.91	51.484	-1.165	4.500
56.69	48.758	-0.794	3.441
57.48	51.820	-1.362	3.813
58.27	48.273	-1.185	3.312
59.06	50.746	-0.789	3.415
59.84	51.452	-1.173	3.271
60.63	47.873	-1.187	3.317
61.42	47.472	-1.189	3.322
62.20	50.634	-1.367	3.830
62.99	47.071	-1.190	3.328
63.78	45.487	-1.001	2.789
64.57	46.294	-0.998	2.780
65.35	45.863	-1.195	3.344
66.14	43.402	-1.401	3.944
66.93	42.907	-1.803	3.814
67.72	41.793	-1.213	3.402
68.50	45.459	-1.197	3.350
69.29	42.640	-1.012	2.823
70.08	40.498	-1.422	2.711
70.87	42.934	-1.606	3.248
71.65	41.821	-1.015	2.833
72.44	41.734	-1.414	2.696
73.23	42.848	-2.003	3.113
74.02	42.259	-0.814	2.260
74.80	41.323	-1.417	2.701
75.59	40.939	-1.217	2.135
76.38	40.440	-1.617	2.003
77.17	39.285	-1.226	2.151
77.95	36.359	-1.242	2.181
78.74	38.453	-1.230	2.160
79.53	37.589	-1.439	2.748
80.31	37.707	-0.829	2.308
81.10	35.516	-1.247	2.190
81.89	35.879	-1.442	1.463
82.68	36.575	-2.258	2.483
83.46	35.427	-1.655	2.051
84.25	33.980	-2.482	1.788
85.04	34.492	-2.070	1.921
85.83	34.184	-1.454	1.475
86.61	33.670	-1.865	1.339
87.40	33.980	-2.482	1.788
88.19	31.958	-1.881	1.352
88.98	32.786	-2.088	1.938
89.76	31.900	-2.070	0.619
90.55	31.038	-2.080	0.622
91.34	29.214	-2.510	0.491
92.13	30.575	-2.307	1.222
92.91	30.605	-2.084	0.624
93.70	29.301	-2.099	0.629
94.49	31.007	-2.301	1.219
95.28	30.636	-1.860	0.026
96.06	28.777	-2.516	0.492
96.85	28.896	-1.877	0.027
97.64	27.579	-1.891	0.028
98.43	27.579	-1.891	0.028
99.21	27.491	-2.303	-0.111
100.00	25.776	-2.141	0.644
