GRAY	Lab_L	A	B
0.00	94.123	-0.199	2.641
0.79	95.021	-0.871	2.399
1.57	94.746	-0.535	2.519
2.36	95.021	-0.871	2.399
3.15	94.722	-0.708	3.001
3.94	94.198	0.139	2.759
4.72	94.174	-0.033	3.243
5.51	94.448	-0.371	3.122
6.30	91.746	0.140	2.775
7.09	92.072	-0.032	3.259
7.87	93.073	-0.199	2.647
8.66	92.798	0.140	2.768
9.45	92.072	-0.032	3.259
10.24	91.018	-0.032	3.267
11.02	90.666	-0.032	3.270
11.81	89.988	-0.032	4.373
12.60	90.363	0.314	2.297
13.39	91.018	-0.032	3.267
14.17	91.042	0.140	2.780
14.96	91.294	-0.373	3.145
15.75	90.666	-0.032	3.270
16.54	91.570	-0.713	3.024
17.32	90.213	-0.546	3.641
18.11	87.789	-0.377	4.275
18.90	89.456	-0.716	3.039
19.69	90.161	-0.715	3.034
20.47	86.951	-0.894	3.549
21.26	89.102	-0.716	3.042
22.05	88.092	-0.549	3.660
22.83	88.116	-0.375	3.169
23.62	86.748	-0.205	3.794
24.41	84.609	-0.205	3.814
25.20	83.894	-0.205	3.821
25.98	84.532	-0.552	3.693
26.77	84.991	-0.031	3.316
27.56	83.536	-0.205	3.824
28.35	83.740	-0.901	3.578
29.13	83.023	-0.902	3.585
29.92	81.302	-0.556	3.723
30.71	82.357	-0.729	4.211
31.50	81.044	-0.030	3.350
32.28	81.662	-0.555	3.720
33.07	79.574	-0.205	3.864
33.86	79.212	-0.205	3.868
34.65	76.691	-0.029	3.390
35.43	78.408	-0.559	3.752
36.22	76.849	-1.092	4.149
37.01	77.370	-0.381	4.392
37.80	79.599	-0.030	3.363
38.58	76.326	-0.029	3.393
39.37	77.031	-0.205	3.891
40.16	75.600	-0.198	5.047
40.94	75.229	-0.028	3.403
41.73	71.762	-0.922	4.847
42.52	75.832	-0.739	4.285
43.31	72.815	-1.102	4.196
44.09	72.815	-1.102	4.196
44.88	74.366	-0.741	4.303
45.67	72.182	-0.566	3.818
46.46	73.656	-0.564	3.802
47.24	69.536	-0.926	4.879
48.03	70.701	-0.567	3.835
48.82	69.431	-1.469	5.270
49.61	70.596	-1.108	4.223
50.39	70.727	-0.387	3.321
51.18	71.363	-0.927	3.701
51.97	69.134	-0.932	3.725
52.76	68.120	-0.389	3.347
53.54	69.958	-0.568	3.843
54.33	66.220	-0.573	3.887
55.12	63.092	-1.129	4.322
55.91	64.228	-1.126	4.306
56.69	62.819	-0.577	3.929
57.48	62.465	-0.394	3.407
58.27	64.254	-0.944	3.782
59.06	61.951	-1.133	4.338
59.84	62.439	-0.577	3.934
60.63	60.750	-1.325	3.695
61.42	58.117	-1.144	4.394
62.20	63.769	-1.497	4.184
62.99	59.216	-1.331	3.714
63.78	57.758	-0.960	3.864
64.57	56.570	-1.149	4.417
65.35	57.784	-0.774	3.329
66.14	54.567	-1.350	3.775
66.93	58.503	-1.143	4.388
67.72	58.144	-0.959	3.859
68.50	56.292	-0.584	4.017
69.29	55.347	-1.346	3.764
70.08	53.896	-0.782	3.375
70.87	51.452	-1.173	3.271
71.65	47.500	-0.994	2.767
72.44	53.138	-0.594	2.840
73.23	47.900	-0.993	2.762
74.02	49.470	-1.180	3.296
74.80	52.214	-1.360	3.808
75.59	50.349	-0.790	3.420
76.38	49.497	-0.987	2.745
77.17	46.696	-0.997	2.775
77.95	46.669	-1.192	3.333
78.74	46.669	-1.192	3.333
79.53	43.457	-1.009	2.813
80.31	42.319	-0.614	2.966
81.10	43.049	-1.010	2.818
81.89	44.185	-1.400	2.668
82.68	43.257	-2.000	3.107
83.46	43.019	-1.004	1.551
84.25	38.753	-1.835	2.594
85.04	37.530	-1.639	2.030
85.83	39.285	-1.226	2.151
86.61	40.113	-1.221	2.143
87.40	37.559	-1.430	1.451
88.19	38.695	-2.029	1.882
88.98	37.977	-1.427	1.448
89.76	34.580	-1.662	2.059
90.55	35.033	-1.447	1.469
91.34	32.699	-2.498	1.800
92.13	33.670	-1.865	1.339
92.91	32.300	-2.286	1.211
93.70	31.527	-1.885	1.355
94.49	33.274	-1.652	0.752
95.28	30.457	-2.939	1.684
96.06	27.900	-2.528	0.495
96.85	30.202	-1.864	0.026
97.64	26.252	-1.905	0.029
98.43	27.373	-2.947	0.360
99.21	27.931	-2.297	-0.111
100.00	25.274	-2.332	-0.111
