Input,K,GY,LGY,Total,K_percent,GY_percent,LGY_percent
124,6200,15700,2480,24380,25.43,64.40,10.17
125,6250,15815,2500,24565,25.44,64.38,10.18
126,6300,15930,2520,24750,25.45,64.36,10.18
127,6350,16045,2540,24935,25.47,64.35,10.19
128,6400,16160,2560,25120,25.48,64.33,10.19
129,6450,16275,2580,25305,25.49,64.32,10.20
130,6500,16390,2600,25490,25.50,64.30,10.20
131,6550,16505,2620,25675,25.51,64.28,10.20
132,6600,16620,2640,25860,25.52,64.27,10.21
133,6650,16735,2660,26045,25.53,64.25,10.21
134,6700,16850,2680,26230,25.54,64.24,10.22
135,6750,16965,2700,26415,25.55,64.22,10.22
136,6800,17080,2720,26600,25.56,64.21,10.23
137,6850,17195,2740,26785,25.57,64.20,10.23
138,6900,17310,2760,26970,25.58,64.18,10.23
139,6950,17425,2780,27155,25.59,64.17,10.24
140,7000,17540,2800,27340,25.60,64.16,10.24
141,7050,17655,2820,27525,25.61,64.14,10.25
142,7100,17770,2840,27710,25.62,64.13,10.25
143,7150,17885,2860,27895,25.63,64.12,10.25
144,7200,18000,2880,28080,25.64,64.10,10.26
145,7250,18115,2900,28265,25.65,64.09,10.26
146,7300,18230,2920,28450,25.66,64.08,10.26
147,7350,18345,2940,28635,25.67,64.06,10.27
148,7400,18460,2960,28820,25.68,64.05,10.27
149,7450,18575,2980,29005,25.69,64.04,10.27
150,7500,18690,3000,29190,25.69,64.03,10.28
151,7550,18805,3020,29375,25.70,64.02,10.28
152,7600,18920,3040,29560,25.71,64.01,10.28
153,7650,19035,3060,29745,25.72,63.99,10.29
154,7700,19150,3080,29930,25.73,63.98,10.29
155,7750,19265,3100,30115,25.73,63.97,10.29
156,7800,19380,3120,30300,25.74,63.96,10.30
157,7850,19495,3140,30485,25.75,63.95,10.30
158,7900,19610,3160,30670,25.76,63.94,10.30
159,7950,19725,3180,30855,25.77,63.93,10.31
160,8000,19840,3200,31040,25.77,63.92,10.31
161,8050,19955,3220,31225,25.78,63.91,10.31
162,8100,20070,3240,31410,25.79,63.90,10.32
163,8150,20185,3260,31595,25.80,63.89,10.32
164,8200,20300,3280,31780,25.80,63.88,10.32
165,8250,20415,3300,31965,25.81,63.87,10.32
166,8300,20530,3320,32150,25.82,63.86,10.33
167,8350,20645,3340,32335,25.82,63.85,10.33
168,8400,20760,3360,32520,25.83,63.84,10.33
169,8450,20875,3380,32705,25.84,63.83,10.33
170,8500,20990,3400,32890,25.84,63.82,10.34
171,8550,21105,3420,33075,25.85,63.81,10.34
172,8600,21220,3440,33260,25.86,63.80,10.34
173,8650,21335,3460,33445,25.86,63.79,10.35
174,8700,21450,3480,33630,25.87,63.78,10.35
175,8750,21565,3500,33815,25.88,63.77,10.35
176,8800,21680,3520,34000,25.88,63.76,10.35
177,8850,21795,3540,34185,25.89,63.76,10.36
178,8900,21910,3560,34370,25.89,63.75,10.36
179,8950,22025,3580,34555,25.90,63.74,10.36
180,9000,22140,3600,34740,25.91,63.73,10.36
181,9050,22255,3620,34925,25.91,63.72,10.37
182,9100,22370,3640,35110,25.92,63.71,10.37
183,9150,22485,3660,35295,25.92,63.71,10.37
184,9200,22600,3680,35480,25.93,63.70,10.37
185,9250,22715,3700,35665,25.94,63.69,10.37
186,9300,22830,3720,35850,25.94,63.68,10.38
187,9350,22945,3740,36035,25.95,63.67,10.38
188,9400,23060,3760,36220,25.95,63.67,10.38
189,9450,23175,3780,36405,25.96,63.66,10.38
190,9500,23290,3800,36590,25.96,63.65,10.39
191,9550,23405,3820,36775,25.97,63.64,10.39
192,9600,23520,3840,36960,25.97,63.64,10.39
193,9650,23635,3860,37145,25.98,63.63,10.39
194,9700,23750,3880,37330,25.98,63.62,10.39
195,9750,23865,3900,37515,25.99,63.61,10.40
196,9800,23980,3920,37700,25.99,63.61,10.40
197,9850,24095,3940,37885,26.00,63.60,10.40
198,9900,24210,3960,38070,26.00,63.59,10.40
199,9950,24325,3980,38255,26.01,63.59,10.40
200,10000,24440,4000,38440,26.01,63.58,10.41
201,10050,24555,4020,38625,26.02,63.57,10.41
202,10100,24670,4040,38810,26.02,63.57,10.41
203,10150,24785,4060,38995,26.03,63.56,10.41
204,10200,24900,4080,39180,26.03,63.55,10.41
205,10250,25015,4100,39365,26.04,63.55,10.42
206,10300,25130,4120,39550,26.04,63.54,10.42
207,10350,25245,4140,39735,26.05,63.53,10.42
208,10400,25360,4160,39920,26.05,63.53,10.42
209,10450,25475,4180,40105,26.06,63.52,10.42
210,10500,25590,4200,40290,26.06,63.51,10.42
211,10550,25705,4220,40475,26.07,63.51,10.43
212,10600,25820,4240,40660,26.07,63.50,10.43
213,10650,25935,4260,40845,26.07,63.50,10.43
214,10700,26050,4280,41030,26.08,63.49,10.43
215,10750,26165,4300,41215,26.08,63.48,10.43
216,10800,26280,4320,41400,26.09,63.48,10.43
217,10850,26395,4340,41585,26.09,63.47,10.44
218,10900,26510,4360,41770,26.10,63.47,10.44
219,10950,26625,4380,41955,26.10,63.46,10.44
