input,negative_density,print_density
0,0.07,
8,0.12,
16,0.15,
24,0.19,
32,0.22,
40,0.26,
48,0.28,
56,0.32,
64,0.35,
72,0.38,
80,0.41,
88,0.45,
96,0.49,
104,0.53,
112,0.57,
120,0.6,
128,0.64,
136,0.69,
144,0.73,
152,0.79,
160,0.81,
168,0.86,
176,0.92,
184,0.99,
192,1.07,
200,1.14,
208,1.21,
216,1.27,
224,1.32,
232,1.35,
240,1.38,
248,1.38,
255,1.34,
