Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.86 	0.00  	0.00  
1     	5.00  	93.36 	0.00  	0.00  
2     	10.00 	87.80 	0.00  	0.00  
3     	15.00 	81.54 	0.00  	0.00  
4     	20.00 	76.54 	0.00  	0.00  
5     	25.00 	71.85 	0.00  	0.00  
6     	30.00 	67.10 	0.00  	0.00  
7     	35.00 	63.85 	0.00  	0.00  
8     	40.00 	60.86 	0.00  	0.00  
9     	45.00 	57.37 	0.00  	0.00  
10    	50.00 	54.02 	0.00  	0.00  
11    	55.00 	50.36 	0.00  	0.00  
12    	60.00 	45.02 	0.00  	0.00  
13    	65.00 	38.72 	0.00  	0.00  
14    	70.00 	32.83 	0.00  	0.00  
15    	75.00 	28.18 	0.00  	0.00  
16    	80.00 	21.03 	0.00  	0.00  
17    	85.00 	16.01 	0.00  	0.00  
18    	90.00 	11.04 	0.00  	0.00  
19    	95.00 	10.10 	0.00  	0.00  
20    	100.00	10.16 	0.00  	0.00  
