Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.89 	0.00  	0.00  
1     	5.00  	91.40 	0.00  	0.00  
2     	10.00 	86.84 	0.00  	0.00  
3     	15.00 	83.20 	0.00  	0.00  
4     	20.00 	77.79 	0.00  	0.00  
5     	25.00 	73.87 	0.00  	0.00  
6     	30.00 	70.40 	0.00  	0.00  
7     	35.00 	67.81 	0.00  	0.00  
8     	40.00 	63.43 	0.00  	0.00  
9     	45.00 	57.85 	0.00  	0.00  
10    	50.00 	54.13 	0.00  	0.00  
11    	55.00 	46.61 	0.00  	0.00  
12    	60.00 	41.64 	0.00  	0.00  
13    	65.00 	38.65 	0.00  	0.00  
14    	70.00 	35.17 	0.00  	0.00  
15    	75.00 	29.54 	0.00  	0.00  
16    	80.00 	25.57 	0.00  	0.00  
17    	85.00 	21.46 	0.00  	0.00  
18    	90.00 	18.36 	0.00  	0.00  
19    	95.00 	14.26 	0.00  	0.00  
20    	100.00	10.39 	0.00  	0.00  
