input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,1136,,,,0.11
16,2273,,,,0.14
24,3409,,,,0.16
32,4546,,,,0.18
40,5682,,,,0.21
48,6818,,,,0.24
56,7955,,,,0.26
64,9092,,,,0.28
72,10228,,,,0.31
80,11364,,,,0.33
88,12501,,,,0.37
96,13637,,,,0.4
104,14773,,,,0.43
112,15910,,,,0.45
120,17046,,,,0.48
128,18184,,,,0.52
136,19319,,,,0.55
144,20455,,,,0.59
152,21592,,,,0.62
160,22729,,,,0.65
168,23864,,,,0.69
176,25001,,,,0.73
184,26137,,,,0.78
192,27275,,,,0.81
200,29410,,,,0.85
208,29547,,,,0.89
216,30683,,,,0.94
224,31819,,,,0.99
232,32956,,,,1.05
240,34092,,,,1.08
248,35228,,,,1.14
255,36225,,,,1.2
