Input,SP1v7_Quad,SP1v8_Quad,Quad_Change,SP1v7_Density,SP1v8_Density,Density_Boost
121,14930,16362,1432,0.911269,0.998718,0.087449
122,15066,16496,1430,0.919570,1.006907,0.087337
123,15202,16631,1429,0.927871,1.015096,0.087226
124,15338,16765,1427,0.936172,1.023285,0.087114
125,15474,16899,1425,0.944472,1.031474,0.087002
126,15610,17033,1423,0.952773,1.039664,0.086890
127,15746,17167,1421,0.961074,1.047853,0.086778
128,15882,17301,1419,0.969375,1.056042,0.086667
129,16107,17525,1418,0.983108,1.069678,0.086570
130,16332,17748,1416,0.996841,1.083315,0.086474
131,16557,17972,1415,1.010575,1.096952,0.086377
132,16782,18195,1413,1.024308,1.110588,0.086281
133,17007,18419,1412,1.038041,1.124225,0.086184
134,17232,18642,1410,1.051774,1.137861,0.086087
135,17457,18865,1408,1.065507,1.151498,0.085991
136,17683,19089,1406,1.079301,1.165134,0.085833
137,17800,19205,1405,1.086442,1.172217,0.085775
138,17918,19321,1403,1.093645,1.179300,0.085656
139,18036,19437,1401,1.100847,1.186383,0.085536
140,18154,19553,1399,1.108049,1.193466,0.085417
141,18271,19669,1398,1.115190,1.200549,0.085358
142,18389,19785,1396,1.122393,1.207631,0.085239
143,18507,19901,1394,1.129595,1.214714,0.085119
144,18625,20017,1392,1.136797,1.221797,0.085000
145,18761,20152,1391,1.145098,1.230017,0.084919
146,18897,20286,1389,1.153399,1.238236,0.084837
147,19034,20421,1387,1.161761,1.246456,0.084695
148,19170,20556,1386,1.170062,1.254676,0.084614
149,19306,20690,1384,1.178363,1.262895,0.084533
150,19443,20825,1382,1.186725,1.271115,0.084390
151,19579,20960,1381,1.195026,1.279335,0.084309
152,19716,21094,1378,1.203388,1.287554,0.084167
153,19890,21267,1377,1.214008,1.298101,0.084093
154,20065,21440,1375,1.224689,1.308647,0.083958
155,20239,21613,1374,1.235309,1.319194,0.083885
156,20414,21786,1372,1.245991,1.329741,0.083750
157,20588,21958,1370,1.256611,1.340287,0.083676
158,20763,22131,1368,1.267292,1.350834,0.083542
159,20937,22304,1367,1.277913,1.361381,0.083468
160,21112,22477,1365,1.288594,1.371927,0.083333
161,21280,22643,1363,1.298848,1.382100,0.083252
162,21448,22810,1362,1.309102,1.392273,0.083171
163,21617,22977,1360,1.319417,1.402446,0.083028
164,21785,23143,1358,1.329671,1.412618,0.082947
165,21953,23310,1357,1.339925,1.422791,0.082866
166,22122,23477,1355,1.350240,1.432964,0.082724
167,22290,23643,1353,1.360494,1.443137,0.082642
168,22459,23810,1351,1.370809,1.453309,0.082500
169,22642,23992,1350,1.381979,1.464405,0.082426
170,22826,24174,1348,1.393210,1.475501,0.082292
171,23009,24356,1347,1.404379,1.486597,0.082218
172,23193,24537,1344,1.415610,1.497693,0.082083
173,23376,24719,1343,1.426780,1.508789,0.082010
174,23560,24901,1341,1.438010,1.519885,0.081875
175,23743,25083,1340,1.449180,1.530981,0.081801
176,23927,25265,1338,1.460410,1.542077,0.081667
177,24142,25479,1337,1.473533,1.555149,0.081616
178,24358,25693,1335,1.486717,1.568221,0.081504
179,24574,25907,1333,1.499901,1.581293,0.081392
180,24790,26121,1331,1.513085,1.594365,0.081281
181,25006,26335,1329,1.526268,1.607437,0.081169
182,25222,26550,1328,1.539452,1.620509,0.081057
183,25438,26764,1326,1.552636,1.633581,0.080945
184,25654,26978,1324,1.565820,1.646653,0.080833
185,25801,27123,1322,1.574792,1.655537,0.080744
186,25948,27269,1321,1.583764,1.664420,0.080656
187,26095,27414,1319,1.592737,1.673303,0.080567
188,26243,27560,1317,1.601770,1.682187,0.080417
189,26390,27706,1316,1.610742,1.691070,0.080328
190,26537,27851,1314,1.619715,1.699954,0.080239
191,26684,27997,1313,1.628687,1.708837,0.080150
192,26832,28142,1310,1.637720,1.717720,0.080000
193,27011,27011,0,1.648646,1.648646,0.000000
194,27190,27189,-1,1.659571,1.659571,-0.000000
195,27369,27369,0,1.670497,1.670497,0.000000
196,27548,27548,0,1.681422,1.681422,0.000000
197,27727,27727,0,1.692348,1.692348,0.000000
198,27906,27906,0,1.703273,1.703273,0.000000
199,28085,28085,0,1.714199,1.714199,0.000000
200,28264,28264,0,1.725124,1.725124,0.000000
201,28433,28433,0,1.735439,1.735485,0.000046
202,28603,28603,0,1.745815,1.745846,0.000031
203,28773,28773,0,1.756191,1.756207,0.000015
204,28943,28943,0,1.766567,1.766567,0.000000
205,29112,29112,0,1.776883,1.776928,0.000046
206,29282,29282,0,1.787259,1.787289,0.000031
207,29452,29452,0,1.797635,1.797650,0.000015
208,29622,29622,0,1.808011,1.808011,0.000000
209,29836,29836,0,1.821073,1.821111,0.000038
210,30051,30051,0,1.834195,1.834211,0.000015
211,30265,30265,0,1.847257,1.847311,0.000053
212,30480,30480,0,1.860380,1.860410,0.000031
213,30695,30695,0,1.873503,1.873510,0.000008
214,30909,30909,0,1.886564,1.886610,0.000046
215,31124,31124,0,1.899687,1.899710,0.000023
216,31339,31339,0,1.912810,1.912810,0.000000
217,31619,31619,0,1.929900,1.929931,0.000031
218,31900,31900,0,1.947051,1.947051,0.000000
219,32180,32180,0,1.964141,1.964172,0.000031
220,32461,32461,0,1.981292,1.981292,0.000000
221,32741,32741,0,1.998383,1.998413,0.000031
222,33022,33022,0,2.015534,2.015534,0.000000
223,33302,33302,0,2.032624,2.032654,0.000031
224,33583,33583,0,2.049775,2.049775,0.000000
225,33854,33854,0,2.066316,2.066354,0.000038
226,34126,34126,0,2.082918,2.082933,0.000015
227,34397,34397,0,2.099458,2.099512,0.000053
228,34669,34669,0,2.116060,2.116091,0.000031
229,34941,34941,0,2.132662,2.132670,0.000008
230,35212,35212,0,2.149203,2.149248,0.000046
231,35484,35484,0,2.165805,2.165827,0.000023
232,35756,35756,0,2.182406,2.182406,0.000000
233,35906,35906,0,2.191562,2.191608,0.000046
234,36057,36057,0,2.200778,2.200809,0.000031
235,36208,36208,0,2.209995,2.210010,0.000015
236,36359,36359,0,2.219211,2.219211,0.000000
237,36509,36509,0,2.228367,2.228412,0.000046
238,36660,36660,0,2.237583,2.237613,0.000031
239,36811,36811,0,2.246799,2.246815,0.000015
240,36962,36962,0,2.256016,2.256016,0.000000
241,37153,37153,0,2.267674,2.267720,0.000046
242,37345,37345,0,2.279393,2.279423,0.000031
243,37537,37537,0,2.291112,2.291127,0.000015
244,37729,37729,0,2.302831,2.302831,0.000000
245,37920,37920,0,2.314488,2.314534,0.000046
246,38112,38112,0,2.326207,2.326238,0.000031
247,38304,38304,0,2.337926,2.337942,0.000015
248,38496,38496,0,2.349645,2.349645,0.000000
249,40981,40981,0,2.501320,2.501320,0.000000
250,43466,43466,0,2.652995,2.652995,0.000000
251,45951,45951,0,2.804669,2.804669,0.000000
252,48436,48436,0,2.956344,2.956344,0.000000
253,50921,50921,0,3.108019,3.108019,0.000000
254,53406,53406,0,3.259693,3.259693,0.000000
255,55891,55891,0,3.411368,3.411368,0.000000
