input,v28_k_value,v28_negative_density,v28_print_density
0,0,,
8,873,,
16,2320,,
24,3214,,
32,3642,,
40,5096,,
48,5805,,
56,6290,,
64,7148,,
72,8529,,
80,9442,,
88,10199,,
96,10784,,
104,11510,,
112,12439,,
120,13295,,
128,13845,,
136,14344,,
144,14970,,
152,15675,,
160,16449,,
168,17125,,
176,18181,,
184,18933,,
192,19858,,
200,20619,,
208,22050,,
216,23854,,
224,25853,,
232,29163,,
240,33922,,
248,37439,,
255,38495,,
