input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,1208,,,,0.11
16,2415,,,,0.14
24,3623,,,,0.16
32,4831,,,,0.18
40,6038,,,,0.21
48,7246,,,,0.24
56,8453,,,,0.26
64,9661,,,,0.28
72,10868,,,,0.31
80,12076,,,,0.33
88,13283,,,,0.37
96,14491,,,,0.4
104,15698,,,,0.43
112,16906,,,,0.45
120,18113,,,,0.48
128,19320,,,,0.52
136,20528,,,,0.55
144,21735,,,,0.59
152,22943,,,,0.62
160,24150,,,,0.65
168,25358,,,,0.69
176,26565,,,,0.73
184,27773,,,,0.78
192,28980,,,,0.81
200,30188,,,,0.85
208,31395,,,,0.89
216,32603,,,,0.94
224,33810,,,,0.99
232,35018,,,,1.05
240,36225,,,,1.08
248,37433,,,,1.14
255,38496,,,,1.2
