input,negative_density,print_density
0,0.07,
8,0.08,
16,0.14,
24,0.16,
32,0.19,
40,0.2,
48,0.25,
56,0.28,
64,0.31,
72,0.34,
80,0.37,
88,0.4,
96,0.45,
104,0.49,
112,0.55,
120,0.59,
128,0.64,
136,0.67,
144,0.73,
152,0.78,
160,0.81,
168,0.85,
176,0.88,
184,0.91,
192,0.94,
200,0.98,
208,1.03,
216,1.05,
224,1.08,
232,1.13,
240,1.23,
248,1.27,
255,1.29,
