input,negative_density,print_density
0,0.07,
8,0.08,
16,0.11,
24,0.14,
32,0.17,
40,0.2,
48,0.23,
56,0.25,
64,0.28,
72,0.3,
80,0.33,
88,0.37,
96,0.4,
104,0.44,
112,0.47,
120,0.5,
128,0.53,
136,0.58,
144,0.62,
152,0.66,
160,0.7,
168,0.74,
176,0.78,
184,0.82,
192,0.87,
200,0.92,
208,0.96,
216,1,
224,1.07,
232,1.12,
240,1.17,
248,1.21,
255,1.69,
