input,negative_density,print_density
0,,1.94
8,,2.15
16,,2.14
24,,2.06
32,,2.03
40,,1.97
48,,1.93
56,,1.93
64,,1.86
72,,1.8
80,,1.76
88,,1.7
96,,1.64
104,,1.64
112,,1.56
120,,1.52
128,,1.43
136,,1.41
144,,1.34
152,,1.35
160,,1.32
168,,1.29
176,,1.22
184,,1.18
192,,1.16
200,,1.17
208,,1.13
216,,1.13
224,,1.09
232,,1.07
240,,1.08
248,,1.06
255,,1.06
