GRAY	Lab_L	A	B
0.00	94.746	-0.535	2.519
0.79	94.698	-0.880	3.484
1.57	93.749	-0.371	3.127
2.36	93.724	-0.543	3.611
3.15	94.098	-0.371	3.124
3.94	92.749	-0.204	3.739
4.72	92.749	-0.204	3.739
5.51	93.076	-0.374	4.221
6.30	92.072	-0.032	3.259
7.09	90.993	-0.204	3.754
7.87	91.345	-0.204	3.751
8.66	90.993	-0.204	3.754
9.45	89.105	-0.892	4.630
10.24	89.105	-0.892	4.630
11.02	88.751	-0.892	4.634
11.81	90.240	-0.546	4.738
12.60	85.631	-0.550	4.792
13.39	84.942	-0.378	4.305
14.17	87.789	-0.377	4.275
14.96	86.978	-0.895	4.654
15.75	86.368	-0.377	4.290
16.54	87.027	-0.550	3.669
17.32	86.368	-0.377	4.290
18.11	84.150	-0.727	4.192
18.90	81.973	-0.904	4.713
19.69	82.410	-0.552	4.831
20.47	81.691	-0.553	4.840
21.26	82.050	-0.552	4.836
22.05	81.715	-0.379	4.341
22.83	78.878	-0.200	5.001
23.62	79.886	-0.554	4.863
24.41	80.560	-0.898	5.855
25.20	78.177	-0.026	4.507
25.98	78.515	-0.200	5.006
26.77	77.710	-0.556	4.892
27.56	75.575	-0.372	5.554
28.35	77.085	-0.025	4.521
29.13	78.412	-0.729	5.386
29.92	75.129	-0.732	5.435
30.71	75.129	-0.732	5.435
31.50	74.078	-0.382	4.432
32.28	73.268	-0.908	5.974
33.07	70.731	-0.561	4.989
33.86	66.627	-0.563	5.052
34.65	74.421	-0.558	4.937
35.43	68.499	-0.562	5.023
36.22	74.683	-1.092	5.315
37.01	70.310	-0.912	6.026
37.80	69.561	-0.748	4.363
38.58	68.816	-0.749	4.373
39.37	69.244	-0.562	5.012
40.16	67.670	-0.930	4.907
40.94	68.872	-0.562	5.017
41.73	66.251	-0.564	5.057
42.52	68.019	-1.107	5.420
43.31	66.895	-1.109	5.438
44.09	66.276	-0.385	4.536
44.88	65.417	-0.934	4.941
45.67	63.850	-1.127	4.311
46.46	66.545	-0.932	4.924
47.24	63.553	-0.757	4.445
48.03	62.007	-0.941	4.995
48.82	61.626	-0.942	5.001
49.61	59.714	-0.945	5.033
50.39	60.455	-1.124	5.552
51.18	59.631	-1.322	4.903
51.97	59.330	-0.946	5.040
52.76	55.878	-0.770	4.561
53.54	55.962	-0.387	4.694
54.33	57.731	-1.145	4.400
55.12	56.654	-0.768	4.549
55.91	54.709	-0.772	4.580
56.69	56.266	-0.769	4.555
57.48	57.428	-0.767	4.537
58.27	53.536	-0.773	4.600
59.06	55.041	-0.967	3.901
59.84	53.477	-0.972	3.923
60.63	53.759	-1.541	4.329
61.42	54.541	-1.537	4.316
62.20	49.926	-0.982	3.976
62.99	48.845	-0.404	3.577
63.78	51.115	-0.978	3.958
64.57	49.926	-0.982	3.976
65.35	48.246	-1.378	3.866
66.14	48.246	-1.378	3.866
66.93	48.332	-0.986	4.001
67.72	49.018	-1.565	4.407
68.50	47.044	-1.383	3.885
69.29	46.755	-0.799	3.469
70.08	48.758	-0.794	3.441
70.87	47.472	-1.189	3.322
71.65	47.472	-1.189	3.322
72.44	45.459	-1.197	3.350
73.23	45.373	-1.591	3.214
74.02	44.157	-1.598	3.231
74.80	45.401	-1.394	2.654
75.59	44.536	-1.792	3.788
76.38	45.027	-1.393	3.917
77.17	43.315	-1.800	3.808
77.95	39.256	-1.429	2.726
78.74	39.169	-1.831	2.589
79.53	39.699	-1.223	2.147
80.31	38.337	-1.838	2.599
81.10	38.337	-1.838	2.599
81.89	39.584	-1.828	2.584
82.68	38.753	-1.835	2.594
83.46	38.337	-1.838	2.599
84.25	35.849	-1.652	2.046
85.04	34.155	-1.665	2.064
85.83	35.938	-1.244	2.186
86.61	36.271	-1.648	2.042
87.40	35.879	-1.442	1.463
88.19	35.310	-2.272	2.498
88.98	33.670	-1.865	1.339
89.76	35.369	-1.849	1.328
90.55	32.786	-2.088	1.938
91.34	30.229	-1.898	1.365
92.13	30.693	-1.674	0.763
92.91	32.387	-1.877	1.349
93.70	31.588	-1.445	0.164
94.49	29.619	-2.730	1.091
95.28	29.301	-2.099	0.629
96.06	28.458	-1.881	0.027
96.85	29.214	-2.510	0.491
97.64	27.900	-2.528	0.495
98.43	26.608	-2.314	-0.111
99.21	27.138	-1.895	0.028
100.00	26.664	-2.130	0.640
