GRAY	Lab_L	A	B
0.00	94.746	-0.535	2.519
0.79	92.348	-0.372	3.137
1.57	91.018	-0.032	3.267
2.36	91.269	-0.545	3.632
3.15	90.213	-0.546	3.641
3.94	90.213	-0.546	3.641
4.72	89.835	-0.719	4.133
5.51	90.917	-0.546	3.635
6.30	84.532	-0.552	3.693
7.09	86.672	-0.550	3.673
7.87	86.316	-0.550	3.676
8.66	84.914	-0.377	3.195
9.45	84.890	-0.552	3.689
10.24	85.502	-1.071	4.056
11.02	83.817	-0.553	3.699
11.81	83.458	-0.553	3.703
12.60	79.911	-0.380	4.362
13.39	80.994	-0.380	4.349
14.17	80.916	-0.731	4.227
14.96	81.687	-0.380	3.221
15.75	83.357	-1.076	4.078
16.54	79.495	-0.558	3.741
17.32	79.755	-1.085	4.116
18.11	78.123	-0.205	3.880
18.90	77.446	0.149	2.879
19.69	78.073	-0.555	4.887
20.47	77.966	-0.912	3.633
21.26	76.301	-0.206	3.899
22.05	77.706	-0.382	3.256
22.83	78.044	-0.559	3.756
23.62	74.758	-0.563	3.790
24.41	78.383	-0.735	4.255
25.20	74.496	-0.028	3.410
25.98	73.841	-1.457	4.059
26.77	72.526	-0.743	4.325
27.56	73.999	-0.741	4.307
28.35	73.368	-0.206	3.931
29.13	69.933	-0.747	4.358
29.92	72.446	-1.103	4.200
30.71	73.159	-1.279	4.702
31.50	68.120	-0.389	3.347
32.28	71.733	-0.926	3.697
33.07	69.612	-0.388	3.332
33.86	69.773	-1.473	4.107
34.65	70.516	-1.470	4.098
35.43	67.215	-1.298	4.785
36.22	68.710	-1.293	4.764
37.01	71.707	-1.105	4.209
37.80	65.386	-0.941	3.768
38.58	64.713	-0.574	3.905
39.37	65.708	-1.122	3.116
40.16	63.578	-0.576	3.919
40.94	62.357	-0.948	3.805
41.73	63.794	-1.313	3.659
42.52	64.903	-1.492	4.169
43.31	64.228	-1.126	4.306
44.09	61.977	-0.949	3.810
44.88	58.529	-0.958	3.854
45.67	59.325	-0.770	3.311
46.46	63.010	-1.500	4.194
47.24	61.158	-1.137	3.161
48.03	59.299	-0.956	3.844
48.82	58.503	-1.143	4.388
49.61	59.574	-1.515	4.242
50.39	58.170	-0.773	3.324
51.18	59.600	-1.329	3.709
51.97	54.931	-1.536	4.310
52.76	53.812	-1.163	3.243
53.54	58.832	-1.332	3.719
54.33	56.901	-1.340	3.744
55.12	54.176	-1.351	3.780
55.91	58.832	-1.332	3.719
56.69	54.594	-1.161	3.234
57.48	55.763	-1.156	3.220
58.27	53.027	-1.166	3.252
59.06	51.931	-0.787	3.399
59.84	55.457	-0.779	3.356
60.63	53.027	-1.166	3.252
61.42	52.524	-1.742	3.670
62.20	52.634	-1.168	3.257
62.99	51.847	-1.171	3.266
63.78	51.452	-1.173	3.271
64.57	48.588	-1.572	3.173
65.35	48.300	-0.991	2.758
66.14	49.385	-1.567	3.163
66.93	48.561	-1.766	3.726
67.72	51.874	-0.979	2.720
68.50	47.873	-1.187	3.317
69.29	47.387	-1.579	3.188
70.08	45.777	-1.588	3.209
70.87	46.696	-0.997	2.775
71.65	45.918	-0.803	2.226
72.44	45.401	-1.394	2.654
73.23	42.144	-1.412	2.691
74.02	45.805	-1.391	2.650
74.80	46.294	-0.998	2.780
75.59	42.058	-1.809	2.556
76.38	39.169	-1.831	2.589
77.17	38.869	-1.228	2.155
77.95	37.647	-1.028	1.589
78.74	39.169	-1.831	2.589
79.53	39.612	-1.623	2.010
80.31	37.501	-1.845	2.609
81.10	40.440	-1.617	2.003
81.89	39.584	-1.828	2.584
82.68	37.618	-1.235	2.168
83.46	37.199	-1.237	2.172
84.25	37.501	-1.845	2.609
85.04	35.879	-1.442	1.463
85.83	37.948	-1.636	2.026
86.61	37.140	-1.433	1.454
87.40	37.111	-1.642	2.034
88.19	37.472	-1.831	1.314
88.98	34.405	-2.477	1.784
89.76	36.604	-2.049	1.901
90.55	35.791	-1.845	1.325
91.34	32.387	-1.877	1.349
92.13	30.663	-1.894	1.362
92.91	31.557	-1.666	0.759
93.70	34.859	-2.257	1.194
94.49	31.527	-1.885	1.355
95.28	30.977	-2.520	1.817
96.06	29.390	-1.686	0.769
96.85	29.270	-2.323	1.232
97.64	29.737	-2.094	0.627
98.43	29.359	-1.907	1.372
99.21	27.018	-2.541	0.499
100.00	27.869	-2.756	1.103
