input,negative_density,print_density
0,0.07,
8,0.08,
16,0.11,
24,0.13,
32,0.16,
40,0.19,
48,0.22,
56,0.25,
64,0.28,
72,0.3,
80,0.33,
88,0.37,
96,0.41,
104,0.45,
112,0.48,
120,0.51,
128,0.55,
136,0.59,
144,0.64,
152,0.67,
160,0.72,
168,0.75,
176,0.8,
184,0.83,
192,0.9,
200,0.95,
208,0.98,
216,1.03,
224,1.08,
232,1.13,
240,1.21,
248,1.24,
255,1.34,
