input,negative_density,print_density
0,0.07,
8,0.08,
16,0.13,
24,0.16,
32,0.18,
40,0.2,
48,0.24,
56,0.27,
64,0.3,
72,0.33,
80,0.36,
88,0.39,
96,0.44,
104,0.48,
112,0.53,
120,0.58,
128,0.63,
136,0.66,
144,0.72,
152,0.76,
160,0.8,
168,0.83,
176,0.87,
184,0.89,
192,0.95,
200,1.01,
208,1.06,
216,1.09,
224,1.13,
232,1.15,
240,1.19,
248,1.21,
255,1.23,
