GRAY	Lab_L	A	B
0.00	95.021	-0.871	2.399
0.79	94.448	-0.371	3.122
1.57	94.098	-0.371	3.124
2.36	94.174	-0.033	3.243
3.15	94.174	-0.033	3.243
3.94	93.049	-0.372	3.132
4.72	93.824	-0.033	3.246
5.51	92.423	-0.032	3.256
6.30	89.884	-0.374	3.156
7.09	90.966	-0.200	2.660
7.87	90.666	-0.032	3.270
8.66	88.522	-0.204	3.777
9.45	91.470	0.481	2.898
10.24	89.507	-0.547	3.647
11.02	90.213	-0.546	3.641
11.81	88.092	-0.549	3.660
12.60	84.277	-0.031	3.322
13.39	87.052	-0.376	3.178
14.17	85.603	-0.551	3.683
14.96	84.150	-0.727	4.192
15.75	88.775	-0.720	4.144
16.54	86.393	-0.205	3.797
17.32	83.458	-0.553	3.703
18.11	89.884	-0.374	3.156
18.90	82.484	-0.030	3.337
19.69	84.455	-0.899	3.572
20.47	84.914	-0.377	3.195
21.26	82.716	-0.729	4.207
22.05	83.817	-0.553	3.699
22.83	83.511	-0.379	4.321
23.62	83.125	-0.379	3.209
24.41	86.264	-0.721	3.063
25.20	78.511	-0.029	3.373
25.98	77.627	-0.735	3.133
26.77	77.342	-0.383	3.259
27.56	78.849	-0.205	3.872
28.35	82.022	-0.555	3.716
29.13	78.796	-0.382	3.246
29.92	80.297	-0.205	3.857
30.71	82.406	-0.379	3.215
31.50	75.595	-0.028	3.400
32.28	75.229	-0.028	3.403
33.07	76.326	-0.029	3.393
33.86	78.123	-0.205	3.880
34.65	76.301	-0.206	3.899
35.43	73.999	-0.741	4.307
36.22	73.263	-0.742	4.316
37.01	77.292	-0.736	4.268
37.80	69.214	-0.569	3.852
38.58	70.596	-1.108	4.223
39.37	67.265	-0.936	3.746
40.16	71.707	-1.105	4.209
40.94	72.157	-0.744	4.330
41.73	71.312	-1.285	4.727
42.52	70.305	-0.747	4.354
43.31	69.083	-1.292	4.759
44.09	62.819	-0.577	3.929
44.88	68.388	-0.934	3.734
45.67	68.413	-0.752	3.216
46.46	64.228	-1.126	4.306
47.24	70.516	-1.470	4.098
48.03	68.736	-1.113	4.247
48.82	67.989	-1.115	4.256
49.61	66.785	-1.484	4.144
50.39	62.738	-0.947	3.800
51.18	61.595	-0.950	3.814
51.97	65.009	-0.942	3.773
52.76	62.357	-0.948	3.805
53.54	64.632	-0.943	3.777
54.33	62.738	-0.947	3.800
55.12	61.977	-0.949	3.810
55.91	60.423	-1.137	4.360
56.69	55.763	-1.156	3.220
57.48	58.144	-0.959	3.859
58.27	57.701	-1.149	3.198
59.06	55.457	-0.779	3.356
59.84	59.818	-0.210	2.905
60.63	58.061	-1.335	3.729
61.42	58.832	-1.332	3.719
62.20	58.144	-0.959	3.859
62.99	55.347	-1.346	3.764
63.78	53.393	-1.355	3.791
64.57	50.264	-1.177	3.286
65.35	51.847	-1.171	3.266
66.14	53.420	-1.165	3.247
66.93	53.477	-0.972	3.923
67.72	50.634	-1.367	3.830
68.50	52.188	-1.549	4.354
69.29	51.874	-0.979	2.720
70.08	49.841	-1.370	3.842
70.87	46.239	-1.387	3.897
71.65	48.987	-1.570	3.168
72.44	46.669	-1.192	3.333
73.23	48.215	-1.379	2.624
74.02	44.563	-1.596	3.225
74.80	47.846	-1.380	3.872
75.59	47.387	-1.579	3.188
76.38	44.591	-1.398	2.663
77.17	43.778	-1.403	2.672
77.95	43.806	-1.203	2.109
78.74	44.213	-1.201	2.105
79.53	45.316	-1.785	2.520
80.31	43.370	-1.405	2.677
81.10	41.295	-1.617	3.271
81.89	43.692	-1.797	2.537
82.68	39.612	-1.623	2.010
83.46	47.098	-0.995	2.771
84.25	40.411	-1.822	2.574
85.04	42.876	-1.803	2.546
85.83	40.026	-1.620	2.006
86.61	39.197	-1.626	2.014
87.40	38.482	-1.024	1.583
88.19	34.609	-1.450	1.472
88.98	35.967	-1.036	1.602
89.76	34.609	-1.450	1.472
90.55	34.067	-2.074	1.925
91.34	35.033	-1.447	1.469
92.13	35.879	-1.442	1.463
92.91	32.699	-2.498	1.800
93.70	32.816	-1.873	1.346
94.49	30.605	-2.084	0.624
95.28	30.605	-2.084	0.624
96.06	35.033	-1.447	1.469
96.85	30.111	-2.532	1.826
97.64	29.270	-2.323	1.232
98.43	31.007	-2.301	1.219
99.21	27.106	-2.125	0.638
100.00	26.311	-1.716	0.783
