GRAY	Lab_L	A	B
0.00	94.098	-0.371	3.124
0.79	93.474	-0.033	3.248
1.57	93.724	-0.543	3.611
2.36	93.800	-0.204	3.730
3.15	93.724	-0.543	3.611
3.94	93.149	0.139	2.766
4.72	93.749	-0.371	3.127
5.51	94.448	-0.371	3.122
6.30	91.697	-0.204	3.748
7.09	93.474	-0.033	3.248
7.87	93.024	-0.544	3.617
8.66	93.474	-0.033	3.248
9.45	93.824	-0.033	3.246
10.24	92.323	-0.544	3.623
11.02	92.749	-0.204	3.739
11.81	91.321	-0.375	4.238
12.60	89.559	-0.376	4.256
13.39	88.751	-0.892	4.634
14.17	86.267	-0.896	4.662
14.96	89.205	-0.376	4.260
15.75	89.129	-0.720	4.140
16.54	87.003	-0.723	4.162
17.32	88.498	-0.376	4.267
18.11	90.289	-0.204	3.761
18.90	86.316	-0.550	3.676
19.69	82.026	-0.725	5.334
20.47	84.609	-0.205	3.814
21.26	85.121	-1.246	4.554
22.05	86.748	-0.205	3.794
22.83	87.358	-0.722	4.158
23.62	87.003	-0.723	4.162
24.41	84.252	-0.205	3.817
25.20	80.658	-0.205	3.853
25.98	80.531	-0.906	4.731
26.77	78.540	-0.026	4.503
27.56	79.495	-0.558	3.741
28.35	81.433	-0.028	4.468
29.13	78.461	-0.381	4.379
29.92	77.110	0.150	4.016
30.71	78.849	-0.205	3.872
31.50	76.641	-0.381	4.401
32.28	75.179	-0.382	4.419
33.07	73.343	-0.383	4.442
33.86	74.024	-0.564	3.798
34.65	67.295	-0.931	4.912
35.43	73.631	-0.742	4.312
36.22	72.237	-0.383	4.456
37.01	70.781	-0.206	3.961
37.80	69.586	-0.569	3.847
38.58	66.464	-1.300	4.796
39.37	68.685	-1.471	5.281
40.16	66.464	-1.300	4.796
40.94	66.840	-1.299	4.791
41.73	66.946	-0.752	4.398
42.52	66.571	-0.753	4.403
43.31	65.982	-1.849	5.197
44.09	65.844	-0.573	3.891
44.88	64.203	-1.307	4.831
45.67	63.471	-1.128	4.316
46.46	66.865	-1.119	4.271
47.24	60.040	-1.138	4.365
48.03	64.958	-1.305	4.819
48.82	61.652	-0.760	4.472
49.61	62.738	-0.947	3.800
50.39	62.712	-1.130	4.327
51.18	60.092	-0.769	3.303
51.97	56.707	-0.398	3.474
52.76	61.488	-1.506	4.215
53.54	60.832	-0.952	3.824
54.33	60.040	-1.138	4.365
55.12	54.651	-0.968	3.906
55.91	55.846	-0.778	3.351
56.69	53.001	-1.356	3.796
57.48	51.510	-0.977	3.952
58.27	53.001	-1.356	3.796
59.06	49.841	-1.370	3.842
59.84	49.756	-1.758	3.709
60.63	51.820	-1.362	3.813
61.42	49.867	-1.179	3.291
62.20	48.758	-0.794	3.441
62.99	50.634	-1.367	3.830
63.78	49.045	-1.374	3.854
64.57	53.001	-1.356	3.796
65.35	49.756	-1.758	3.709
66.14	51.820	-1.362	3.813
66.93	47.558	-0.797	3.457
67.72	51.030	-1.365	3.825
68.50	49.443	-1.372	3.848
69.29	45.346	-1.786	3.775
70.08	49.157	-0.793	3.436
70.87	48.273	-1.185	3.312
71.65	45.487	-1.001	2.789
72.44	43.809	-1.399	3.937
73.23	43.750	-1.601	3.236
74.02	38.753	-1.835	2.594
74.80	42.962	-1.407	2.682
75.59	40.085	-1.424	2.716
76.38	43.257	-2.000	3.107
77.17	38.036	-1.232	2.164
77.95	37.530	-1.639	2.030
78.74	35.545	-1.038	1.605
79.53	37.443	-2.041	1.893
80.31	37.443	-2.041	1.893
81.10	39.169	-1.831	2.589
81.89	38.337	-1.838	2.599
82.68	40.411	-1.822	2.574
83.46	36.691	-1.645	2.038
84.25	36.779	-1.239	2.177
85.04	34.521	-1.857	1.334
85.83	33.274	-1.652	0.752
86.61	33.670	-1.865	1.339
87.40	34.492	-2.070	1.921
88.19	35.908	-1.229	0.880
88.98	32.786	-2.088	1.938
89.76	31.958	-1.881	1.352
90.55	34.184	-1.454	1.475
91.34	34.916	-2.066	1.917
92.13	32.183	-2.913	1.668
92.91	30.890	-2.932	1.680
93.70	31.069	-1.855	0.026
94.49	31.439	-2.296	1.216
95.28	29.619	-2.730	1.091
96.06	29.737	-2.094	0.627
96.85	28.896	-1.877	0.027
97.64	28.833	-2.329	1.235
98.43	27.900	-2.528	0.495
99.21	27.018	-2.541	0.499
100.00	25.958	-1.297	0.930
