GRAY	Lab_L	A	B
0.00	92.323	-0.544	3.623
0.79	90.565	-0.546	3.638
1.57	89.583	-0.204	3.767
2.36	87.536	-1.584	4.406
3.15	86.672	-0.550	3.673
3.94	87.636	-1.066	4.034
4.72	85.222	-0.725	4.180
5.51	87.713	-0.722	4.154
6.30	80.272	-0.380	4.358
7.09	83.817	-0.553	3.699
7.87	79.833	-0.733	4.239
8.66	87.027	-0.550	3.669
9.45	81.613	-0.904	4.718
10.24	75.229	-0.028	3.403
11.02	79.495	-0.558	3.741
11.81	79.212	-0.205	3.868
12.60	74.708	-0.917	4.807
13.39	74.708	-0.917	4.807
14.17	74.733	-0.740	4.298
14.96	74.708	-0.917	4.807
15.75	76.641	-0.381	4.401
16.54	75.911	-0.382	4.410
17.32	73.606	-0.919	4.822
18.11	75.204	-0.206	3.911
18.90	72.974	-0.383	4.446
19.69	70.596	-1.108	4.223
20.47	72.526	-0.743	4.325
21.26	71.047	-0.746	4.344
22.05	74.104	-0.206	3.923
22.83	69.108	-1.112	4.242
23.62	72.262	-0.206	3.944
24.41	69.773	-1.473	4.107
25.20	66.114	-1.121	4.281
25.98	66.596	-0.572	3.882
26.77	66.114	-1.121	4.281
27.56	66.139	-0.939	3.759
28.35	63.092	-1.129	4.322
29.13	63.199	-0.576	3.924
29.92	62.331	-1.131	4.332
30.71	68.468	-0.570	3.860
31.50	63.471	-1.128	4.316
32.28	60.341	-1.511	4.231
33.07	61.214	-0.951	3.819
33.86	62.331	-1.131	4.332
34.65	60.888	-0.762	4.484
35.43	65.091	-0.574	3.901
36.22	61.977	-0.949	3.810
37.01	65.657	-1.489	4.159
37.80	59.216	-1.331	3.714
38.58	61.595	-0.950	3.814
39.37	60.449	-0.953	3.829
40.16	64.228	-1.126	4.306
40.94	64.254	-0.944	3.782
41.73	59.958	-1.513	4.236
42.52	61.132	-1.323	3.690
43.31	59.273	-1.141	4.376
44.09	54.735	-0.586	4.039
44.88	55.041	-0.967	3.901
45.67	53.869	-0.971	3.917
46.46	49.071	-1.182	3.301
47.24	54.625	-1.155	4.448
48.03	57.758	-0.960	3.864
48.82	51.003	-1.555	4.373
49.61	54.567	-1.350	3.775
50.39	54.984	-1.159	3.229
51.18	51.510	-0.977	3.952
51.97	55.011	-0.969	2.689
52.76	51.820	-1.362	3.813
53.54	48.700	-0.990	2.753
54.33	49.071	-1.182	3.301
55.12	49.443	-1.372	3.848
55.91	50.349	-0.790	3.420
56.69	49.867	-1.179	3.291
57.48	47.071	-1.190	3.328
58.27	50.466	-2.139	3.566
59.06	50.634	-1.367	3.830
59.84	48.700	-0.990	2.753
60.63	49.555	-0.792	3.430
61.42	49.895	-0.986	2.741
62.20	47.044	-1.383	3.885
62.99	47.184	-0.605	2.906
63.78	44.677	-1.004	2.799
64.57	43.837	-1.204	3.372
65.35	44.968	-1.593	3.220
66.14	44.271	-1.006	2.803
66.93	47.098	-0.995	2.771
67.72	42.553	-1.410	2.686
68.50	44.856	-2.184	3.647
69.29	42.640	-1.012	2.823
70.08	43.370	-1.405	2.677
70.87	39.998	-1.825	2.579
71.65	42.439	-2.006	3.118
72.44	41.647	-1.812	2.560
73.23	46.123	-1.779	2.512
74.02	42.582	-1.209	2.120
74.80	41.619	-2.013	3.129
75.59	40.411	-1.822	2.574
76.38	38.898	-1.022	1.580
77.17	38.695	-2.029	1.882
77.95	37.559	-1.430	1.451
78.74	37.053	-1.834	1.317
79.53	38.898	-1.022	1.580
80.31	36.271	-1.648	2.042
81.10	37.890	-1.827	1.311
81.89	36.691	-1.645	2.038
82.68	37.024	-2.045	1.897
83.46	36.271	-1.648	2.042
84.25	36.329	-1.227	0.878
85.04	35.762	-2.057	1.909
85.83	36.633	-1.838	1.319
86.61	35.033	-1.447	1.469
87.40	36.300	-1.439	1.460
88.19	36.604	-2.049	1.901
88.98	32.300	-2.286	1.211
89.76	31.038	-2.080	0.622
90.55	35.791	-1.845	1.325
91.34	31.007	-2.301	1.219
92.13	35.791	-1.845	1.325
92.91	30.636	-1.860	0.026
93.70	33.186	-2.057	0.614
94.49	31.038	-2.080	0.622
95.28	28.339	-2.522	0.494
96.06	29.127	-2.919	0.355
96.85	31.414	-2.256	-0.112
97.64	30.636	-1.860	0.026
98.43	30.549	-2.266	-0.112
99.21	30.518	-2.493	0.486
100.00	30.030	-2.675	-0.247
