QuadToneProfiler Measurement Data File
Step	Lab_L	Lab_A	Lab_B
211	42.577	-1.577	2.892
212	42.235	-1.595	2.846
213	41.893	-1.611	2.800
214	41.553	-1.626	2.754
215	41.216	-1.639	2.708
216	40.887	-1.647	2.660
217	40.556	-1.654	2.610
218	40.223	-1.655	2.554
219	39.880	-1.655	2.495
220	39.525	-1.653	2.427
221	39.160	-1.651	2.358
222	38.785	-1.651	2.287
223	38.411	-1.654	2.218
224	38.037	-1.660	2.153
225	37.677	-1.668	2.092
226	37.334	-1.677	2.040
227	37.015	-1.686	1.990
228	36.723	-1.695	1.947
229	36.454	-1.706	1.905
230	36.209	-1.720	1.868
231	35.982	-1.737	1.834
232	35.773	-1.764	1.806
233	35.574	-1.792	1.779
234	35.384	-1.831	1.757
235	35.195	-1.870	1.734
236	35.005	-1.915	1.713
237	34.803	-1.961	1.691
238	34.586	-2.007	1.669
239	34.351	-2.052	1.647
240	34.094	-2.091	1.623
241	33.827	-2.132	1.599
242	33.555	-2.179	1.584
243	33.290	-2.226	1.570
244	33.044	-2.264	1.553
245	32.805	-2.302	1.536
246	32.573	-2.336	1.519
247	32.328	-2.368	1.500
248	32.073	-2.363	1.453
249	31.753	-2.353	1.402
250	31.302	-2.275	1.277
251	30.807	-2.203	1.160
252	30.273	-2.262	1.196
253	29.825	-2.326	1.229
254	29.624	-2.529	1.160
255	29.497	-2.733	1.090
256	29.280	-2.952	1.028
