input,negative_density,print_density
0,0.07 ,
8,0.10 ,
16,0.15 ,
24,0.18 ,
32,0.20 ,
40,0.22 ,
48,0.26 ,
56,0.30 ,
64,0.33 ,
72,0.35 ,
80,0.37 ,
88,0.43 ,
96,0.47 ,
104,0.50 ,
112,0.55 ,
120,0.59 ,
128,0.63 ,
136,0.66 ,
144,0.72 ,
152,0.73 ,
160,0.77 ,
168,0.83 ,
176,0.86 ,
184,0.88 ,
192,0.93 ,
200,0.96 ,
208,1.00 ,
216,1.01 ,
224,1.05 ,
232,1.09 ,
240,1.14 ,
248,1.18 ,
255,1.22 ,
