Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.92 	0.00  	0.00  
1     	5.00  	95.42 	0.00  	0.00  
2     	10.00 	92.80 	0.00  	0.00  
3     	15.00 	88.71 	0.00  	0.00  
4     	20.00 	85.23 	0.00  	0.00  
5     	25.00 	81.64 	0.00  	0.00  
6     	30.00 	75.58 	0.00  	0.00  
7     	35.00 	70.37 	0.00  	0.00  
8     	40.00 	65.06 	0.00  	0.00  
9     	45.00 	59.28 	0.00  	0.00  
10    	50.00 	55.11 	0.00  	0.00  
11    	55.00 	51.20 	0.00  	0.00  
12    	60.00 	45.54 	0.00  	0.00  
13    	65.00 	38.74 	0.00  	0.00  
14    	70.00 	35.66 	0.00  	0.00  
15    	75.00 	29.46 	0.00  	0.00  
16    	80.00 	22.68 	0.00  	0.00  
17    	85.00 	14.78 	0.00  	0.00  
18    	90.00 	13.04 	0.00  	0.00  
19    	95.00 	11.62 	0.00  	0.00  
20    	100.00	10.96 	0.00  	0.00  
