Patch 	Gray  	Lab   	A   	B
0     	0.00  	96.78 	0.00  	0.00  
1     	5.00  	94.70 	0.00  	0.00  
2     	10.00 	90.16 	0.00  	0.00  
3     	15.00 	84.27 	0.00  	0.00  
4     	20.00 	79.57 	0.00  	0.00  
5     	25.00 	75.27 	0.00  	0.00  
6     	30.00 	70.64 	0.00  	0.00  
7     	35.00 	66.75 	0.00  	0.00  
8     	40.00 	63.00 	0.00  	0.00  
9     	45.00 	59.28 	0.00  	0.00  
10    	50.00 	53.99 	0.00  	0.00  
11    	55.00 	50.29 	0.00  	0.00  
12    	60.00 	45.79 	0.00  	0.00  
13    	65.00 	40.45 	0.00  	0.00  
14    	70.00 	34.05 	0.00  	0.00  
15    	75.00 	28.17 	0.00  	0.00  
16    	80.00 	21.51 	0.00  	0.00  
17    	85.00 	16.31 	0.00  	0.00  
18    	90.00 	11.49 	0.00  	0.00  
19    	95.00 	10.68 	0.00  	0.00  
20    	100.00	10.94 	0.00  	0.00  
