input,negative_density,print_density
0,0.08,
8,0.12,
16,0.16,
24,0.19,
32,0.23,
40,0.27,
48,0.3,
56,0.32,
64,0.35,
72,0.38,
80,0.42,
88,0.45,
96,0.49,
104,0.53,
112,0.57,
120,0.61,
128,0.64,
136,0.68,
144,0.72,
152,0.76,
160,0.81,
168,0.86,
176,0.91,
184,0.97,
192,1.06,
200,1.13,
208,1.2,
216,1.26,
224,1.3,
232,1.34,
240,1.36,
248,1.36,
255,1.33,
