input,negative_density,print_density
0,0.08,
8,0.12,
16,0.16,
24,0.19,
32,0.23,
40,0.26,
48,0.29,
56,0.32,
64,0.36,
72,0.39,
80,0.43,
88,0.46,
96,0.5,
104,0.53,
112,0.58,
120,0.61,
128,0.65,
136,0.69,
144,0.74,
152,0.78,
160,0.82,
168,0.87,
176,0.92,
184,0.98,
192,1.08,
200,1.14,
208,1.21,
216,1.28,
224,1.32,
232,1.35,
240,1.38,
248,1.38,
255,1.34,
