Input,Quad_Value,Baseline,Density,Quad_Diff,Source
159,24249,94.354086,0.790494,161,v18
160,24410,94.980545,0.795121,161,v18
161,24565,95.583658,0.799576,155,v18
162,24721,96.190661,0.804060,156,v18
163,24876,96.793774,0.808516,155,v18
164,25032,97.400778,0.813000,156,v18
165,25188,98.007782,0.817483,156,v18
166,25343,98.610895,0.821939,155,v18
167,25499,99.217899,0.826423,156,v18
168,25654,99.821012,0.830878,155,v18
169,25804,100.404669,0.835189,150,v18
170,25954,100.988327,0.839501,150,v18
171,26104,101.571984,0.843812,150,v18
172,26254,102.155642,0.848124,150,v18
173,26404,102.739300,0.852435,150,v18
174,26553,103.319066,0.856718,149,v18
175,26703,103.902724,0.861029,150,v18
176,26853,104.486381,0.865341,150,v18
177,27000,105.058366,0.869566,147,v21_spline
178,27146,105.626459,0.873763,146,v21_spline
179,27290,106.186770,0.877902,144,v21_spline
180,27433,106.743191,0.882012,143,v21_spline
181,27575,107.295720,0.886093,142,v21_spline
182,27717,107.848249,0.890175,142,v21_spline
183,27859,108.400778,0.894257,142,v21_spline
184,28003,108.961089,0.898396,144,v21_spline
185,28148,109.525292,0.902563,145,v21_spline
186,28295,110.097276,0.906789,147,v21_spline
187,28444,110.677043,0.911071,149,v21_spline
188,28597,111.272374,0.915469,153,v21_spline
189,28753,111.879377,0.919953,156,v21_spline
190,28913,112.501946,0.924552,160,v21_spline
191,29077,113.140078,0.929266,164,v21_spline
192,29246,113.797665,0.934123,169,v21_spline
193,29421,114.478599,0.939153,175,v21_spline
194,29602,115.182879,0.944356,181,v21_spline
195,29790,115.914397,0.949760,188,v21_spline
196,29984,116.669261,0.955336,194,v21_spline
197,30186,117.455253,0.961142,202,v21_spline
198,30396,118.272374,0.967178,210,v21_spline
199,30615,119.124514,0.973473,219,v21_spline
200,30842,120.007782,0.979997,227,v21_spline
201,31078,120.926070,0.986781,236,v21_spline
202,31319,121.863813,0.993708,241,v21_spline
203,31560,122.801556,1.000635,241,v21_spline
204,31795,123.715953,1.007390,235,v21_spline
205,32019,124.587549,1.013828,224,v21_spline
206,32229,125.404669,1.019864,210,v21_spline
207,32418,126.140078,1.025297,189,v21_spline
208,32582,126.778210,1.030011,164,v21_spline
209,32717,127.303502,1.033891,135,v21_spline
210,32828,127.735409,1.037081,111,v21_spline
211,32919,128.089494,1.039697,91,v21_spline
212,32996,128.389105,1.041910,77,v21_spline
213,33066,128.661479,1.043922,70,v21_spline
214,33132,128.918288,1.045819,66,v21_spline
215,33201,129.186770,1.047803,69,v21_spline
216,33277,129.482490,1.049987,76,v21_spline
217,33367,129.832685,1.052574,90,v21_spline
218,33469,130.229572,1.055506,102,v21_spline
219,33583,130.673152,1.058783,114,v21_spline
220,33710,131.167315,1.062433,127,v21_spline
221,33847,131.700389,1.066371,137,v21_spline
222,33995,132.276265,1.070625,148,v21_spline
223,34154,132.894942,1.075195,159,v21_spline
224,34321,133.544747,1.079995,167,v21_spline
225,34498,134.233463,1.085083,177,v21_spline
226,34684,134.957198,1.090429,186,v21_spline
227,34882,135.727626,1.096120,198,v21_spline
228,35091,136.540856,1.102127,209,v21_spline
229,35312,137.400778,1.108480,221,v21_spline
230,35547,138.315175,1.115234,235,v21_spline
231,35796,139.284047,1.122391,249,v21_spline
232,36061,140.315175,1.130008,265,v21_spline
233,36341,141.404669,1.138056,280,v21_spline
234,36634,142.544747,1.146478,293,v21_spline
235,36937,143.723735,1.155187,303,v21_spline
236,37247,144.929961,1.164098,310,v21_spline
237,37561,146.151751,1.173123,314,v21_spline
238,37876,147.377432,1.182177,315,v21_spline
239,38189,148.595331,1.191174,313,v21_spline
240,38496,149.789883,1.199998,307,v21_spline
241,38795,150.953307,1.208592,299,v21_spline
242,39085,152.081712,1.216928,290,v21_spline
243,39365,153.171206,1.224976,280,v21_spline
244,39634,154.217899,1.232708,269,v21_spline
245,39891,155.217899,1.240095,257,v21_spline
246,40136,156.171206,1.247137,245,v21_spline
247,40367,157.070039,1.253776,231,v21_spline
248,40584,157.914397,1.260014,217,v21_spline
249,40785,158.696498,1.265791,201,v21_spline
250,40970,159.416342,1.271109,185,v21_spline
251,41139,160.073930,1.275966,169,v21_spline
252,41290,160.661479,1.280306,151,v21_spline
253,41422,161.175097,1.284100,132,v21_spline
254,41535,161.614786,1.287348,113,v21_spline
255,41627,161.972763,1.289993,92,v21_spline
