input,k_value,negative_density（実測）,print_density,,negative_density（理論）
0,0,,,,0.08
8,574,,,,0.11
16,1618,,,,0.14
24,2314,,,,0.16
32,3009,,,,0.18
40,4053,,,,0.21
48,5097,,,,0.24
56,5793,,,,0.26
64,6488,,,,0.28
72,7532,,,,0.31
80,8228,,,,0.33
88,9620,,,,0.37
96,10663,,,,0.4
104,11707,,,,0.43
112,12403,,,,0.45
120,13447,,,,0.48
128,14838,,,,0.52
136,15882,,,,0.55
144,17274,,,,0.59
152,18317,,,,0.62
160,19361,,,,0.65
168,20753,,,,0.69
176,22144,,,,0.73
184,23884,,,,0.78
192,24928,,,,0.81
200,26319,,,,0.85
208,27711,,,,0.89
216,29450,,,,0.94
224,31190,,,,0.99
232,33277,,,,1.05
240,34321,,,,1.08
248,36409,,,,1.14
255,38496,,,,1.2
