input,v19_quad,v19_density,v21_quad,v21_density,quad_diff,density_diff
127,14246,0.4410,14246,0.4410,0,0.0000
128,14382,0.4452,14382,0.4452,0,0.0000
129,14607,0.4521,14607,0.4521,0,0.0000
130,14832,0.4591,14832,0.4591,0,0.0000
131,15057,0.4661,15057,0.4661,0,0.0000
132,15282,0.4730,15282,0.4730,0,0.0000
133,15508,0.4800,15508,0.4800,0,0.0000
134,15733,0.4870,15733,0.4870,0,0.0000
135,15958,0.4939,15958,0.4939,0,0.0000
136,16183,0.5009,16183,0.5009,0,0.0000
137,16301,0.5046,16301,0.5046,0,0.0000
138,16418,0.5082,16418,0.5082,0,0.0000
139,16536,0.5118,16536,0.5118,0,0.0000
140,16654,0.5155,16654,0.5155,0,0.0000
141,16772,0.5191,16772,0.5191,0,0.0000
142,16890,0.5228,16890,0.5228,0,0.0000
143,17007,0.5264,17007,0.5264,0,0.0000
144,17125,0.5301,17125,0.5301,0,0.0000
145,17261,0.5343,17261,0.5343,0,0.0000
146,17398,0.5385,17398,0.5385,0,0.0000
147,17534,0.5427,17534,0.5427,0,0.0000
148,17670,0.5469,17670,0.5469,0,0.0000
149,17807,0.5512,17807,0.5512,0,0.0000
150,17943,0.5554,17943,0.5554,0,0.0000
151,18080,0.5596,18080,0.5596,0,0.0000
152,18216,0.5638,18216,0.5638,0,0.0000
153,18390,0.5692,18390,0.5692,0,0.0000
154,18565,0.5746,18565,0.5746,0,0.0000
155,18740,0.5801,18740,0.5801,0,0.0000
156,18914,0.5854,18914,0.5854,0,0.0000
157,19088,0.5908,19088,0.5908,0,0.0000
158,19263,0.5962,19263,0.5962,0,0.0000
159,19438,0.6017,19438,0.6017,0,0.0000
160,19612,0.6071,19612,0.6071,0,0.0000
161,19780,0.6123,19780,0.6123,0,0.0000
162,19949,0.6175,19949,0.6175,0,0.0000
163,20117,0.6227,20117,0.6227,0,0.0000
164,20286,0.6279,20286,0.6279,0,0.0000
165,20454,0.6331,20454,0.6331,0,0.0000
166,20622,0.6383,20622,0.6383,0,0.0000
167,20791,0.6435,20791,0.6435,0,0.0000
168,20959,0.6487,20959,0.6487,0,0.0000
169,21142,0.6544,21142,0.6544,0,0.0000
170,21326,0.6601,21326,0.6601,0,0.0000
171,21510,0.6658,21510,0.6658,0,0.0000
172,21693,0.6715,21693,0.6715,0,0.0000
173,21876,0.6771,21876,0.6771,0,0.0000
174,22060,0.6828,22060,0.6828,0,0.0000
175,22244,0.6885,22244,0.6885,0,0.0000
