input,negative_density,print_density
0,0.07,
8,0.08,
16,0.12,
24,0.15,
32,0.17,
40,0.18,
48,0.22,
56,0.25,
64,0.29,
72,0.31,
80,0.35,
88,0.37,
96,0.42,
104,0.47,
112,0.52,
120,0.58,
128,0.63,
136,0.67,
144,0.72,
152,0.77,
160,0.81,
168,0.86,
176,0.89,
184,0.92,
192,0.97,
200,0.98,
208,1.04,
216,1.06,
224,1.1,
232,1.15,
240,1.23,
248,1.29,
255,1.31,
