Input,Quad_Value,Baseline,Density,Quad_Diff,Source
159,24249,94.354086,0.790494,161,v18
160,24410,94.980545,0.795121,161,v18
161,24565,95.583658,0.799576,155,v18
162,24721,96.190661,0.804060,156,v18
163,24876,96.793774,0.808516,155,v18
164,25032,97.400778,0.813000,156,v18
165,25188,98.007782,0.817483,156,v18
166,25343,98.610895,0.821939,155,v18
167,25499,99.217899,0.826423,156,v18
168,25654,99.821012,0.830878,155,v18
169,25804,100.404669,0.835189,150,v18
170,25954,100.988327,0.839501,150,v18
171,26104,101.571984,0.843812,150,v18
172,26254,102.155642,0.848124,150,v18
173,26404,102.739300,0.852435,150,v18
174,26553,103.319066,0.856718,149,v18
175,26703,103.902724,0.861029,150,v18
176,26853,104.486381,0.865341,150,v18
177,27055,105.272374,0.871147,202,v20_spline
178,27236,105.976654,0.876350,181,v20_spline
179,27399,106.610895,0.881035,163,v20_spline
180,27546,107.182879,0.885260,147,v20_spline
181,27678,107.696498,0.889054,132,v20_spline
182,27797,108.159533,0.892474,119,v20_spline
183,27904,108.575875,0.895550,107,v20_spline
184,28003,108.961089,0.898396,99,v20_spline
185,28094,109.315175,0.901011,91,v20_spline
186,28179,109.645914,0.903454,85,v20_spline
187,28261,109.964981,0.905811,82,v20_spline
188,28341,110.276265,0.908111,80,v20_spline
189,28420,110.583658,0.910381,79,v20_spline
190,28501,110.898833,0.912710,81,v20_spline
191,28585,111.225681,0.915124,84,v20_spline
192,28675,111.575875,0.917711,90,v20_spline
193,28771,111.949416,0.920470,96,v20_spline
194,28877,112.361868,0.923517,106,v20_spline
195,28993,112.813230,0.926851,116,v20_spline
196,29122,113.315175,0.930559,129,v20_spline
197,29265,113.871595,0.934669,143,v20_spline
198,29424,114.490272,0.939240,159,v20_spline
199,29601,115.178988,0.944327,177,v20_spline
200,29798,115.945525,0.949990,197,v20_spline
201,30015,116.789883,0.956227,217,v20_spline
202,30247,117.692607,0.962895,232,v20_spline
203,30486,118.622568,0.969765,239,v20_spline
204,30724,119.548638,0.976606,238,v20_spline
205,30956,120.451362,0.983274,232,v20_spline
206,31174,121.299611,0.989540,218,v20_spline
207,31370,122.062257,0.995174,196,v20_spline
208,31538,122.715953,1.000003,168,v20_spline
209,31672,123.237354,1.003854,134,v20_spline
210,31779,123.653696,1.006930,107,v20_spline
211,31864,123.984436,1.009373,85,v20_spline
212,31936,124.264591,1.011443,72,v20_spline
213,32001,124.517510,1.013311,65,v20_spline
214,32068,124.778210,1.015237,67,v20_spline
215,32143,125.070039,1.017392,75,v20_spline
216,32234,125.424125,1.020008,91,v20_spline
217,32346,125.859922,1.023227,112,v20_spline
218,32480,126.381323,1.027079,134,v20_spline
219,32634,126.980545,1.031505,154,v20_spline
220,32805,127.645914,1.036420,171,v20_spline
221,32991,128.369650,1.041767,186,v20_spline
222,33191,129.147860,1.047515,200,v20_spline
223,33403,129.972763,1.053609,212,v20_spline
224,33625,130.836576,1.059990,222,v20_spline
225,33856,131.735409,1.066629,231,v20_spline
226,34094,132.661479,1.073470,238,v20_spline
227,34342,133.626459,1.080599,248,v20_spline
228,34598,134.622568,1.087957,256,v20_spline
229,34862,135.649805,1.095545,264,v20_spline
230,35136,136.715953,1.103421,274,v20_spline
231,35420,137.821012,1.111584,284,v20_spline
232,35713,138.961089,1.120006,293,v20_spline
233,36015,140.136187,1.128686,302,v20_spline
234,36324,141.338521,1.137568,309,v20_spline
235,36637,142.556420,1.146564,313,v20_spline
236,36950,143.774319,1.155561,313,v20_spline
237,37261,144.984436,1.164500,311,v20_spline
238,37567,146.175097,1.173295,306,v20_spline
239,37863,147.326848,1.181803,296,v20_spline
240,38148,148.435798,1.189995,285,v20_spline
241,38419,149.490272,1.197785,271,v20_spline
242,38674,150.482490,1.205114,255,v20_spline
243,38915,151.420233,1.212041,241,v20_spline
244,39140,152.295720,1.218508,225,v20_spline
245,39350,153.112840,1.224545,210,v20_spline
246,39545,153.871595,1.230149,195,v20_spline
247,39724,154.568093,1.235295,179,v20_spline
248,39888,155.206226,1.240008,164,v20_spline
249,40035,155.778210,1.244234,147,v20_spline
250,40167,156.291829,1.248028,132,v20_spline
251,40283,156.743191,1.251362,116,v20_spline
252,40383,157.132296,1.254236,100,v20_spline
253,40466,157.455253,1.256622,83,v20_spline
254,40533,157.715953,1.258548,67,v20_spline
255,40584,157.914397,1.260014,51,v20_spline
