input,v22 negative_density
0,0.08
8,0.09
16,0.12
24,0.14
32,0.17
40,0.19
48,0.22
56,0.25
64,0.29
72,0.3
80,0.33
88,0.37
96,0.39
104,0.42
112,0.45
120,0.47
128,0.48
136,0.55
144,0.59
152,0.61
160,0.66
168,0.69
176,0.74
184,0.79
192,0.84
200,0.88
208,0.92
216,0.963
224,1.02
232,1.07
240,1.14
248,1.21
255,1.26
