Input,Quad_Value,Baseline,Density
213,30972,120.513619,0.983734
214,31190,121.361868,0.990000
215,31408,122.210117,0.996266
216,31625,123.054475,1.002503
217,31870,124.007782,1.009545
218,32114,124.957198,1.016559
219,32359,125.910506,1.023601
220,32604,126.863813,1.030643
221,32848,127.813230,1.037656
222,33093,128.766537,1.044698
223,33337,129.715953,1.051712
224,33582,130.669261,1.058754
225,33854,131.727626,1.066572
226,34126,132.785992,1.074390
227,34397,133.840467,1.082180
228,34669,134.898833,1.089998
229,34941,135.957198,1.097816
230,35212,137.011673,1.105605
231,35484,138.070039,1.113423
232,35756,139.128405,1.121242
233,35928,139.797665,1.126185
234,36100,140.466926,1.131129
235,36273,141.140078,1.136102
236,36445,141.809339,1.141046
237,36617,142.478599,1.145989
238,36790,143.151751,1.150962
239,36962,143.821012,1.155906
240,37134,144.490272,1.160850
241,37428,145.634241,1.169300
242,37723,146.782101,1.177779
243,38018,147.929961,1.186259
244,38312,149.073930,1.194709
245,38606,150.217899,1.203160
246,38901,151.365759,1.211639
247,39196,152.513619,1.220118
248,39490,153.657588,1.228569
249,39547,153.879377,1.230207
250,39604,154.101167,1.231845
251,39661,154.322957,1.233484
252,39717,154.540856,1.235093
253,39774,154.762646,1.236732
254,39831,154.984436,1.238370
255,39888,155.206226,1.240008
