input,negative_density,print_density
0,0.09,
8,0.10,
16,0.13,
24,0.15,
32,0.18,
40,0.21,
48,0.24,
56,0.27,
64,0.30,
72,0.32,
80,0.35,
88,0.39,
96,0.42,
104,0.46,
112,0.49,
120,0.52,
128,0.55,
136,0.60,
144,0.63,
152,0.66,
160,0.70,
168,0.74,
176,0.78,
184,0.83,
192,0.87,
200,0.91,
208,0.95,
216,1.00,
224,1.06,
232,1.12,
240,1.16,
248,1.23,
255,1.29,
