Input,SP1v7_Quad,SP1v9_Quad,Quad_Change,SP1v7_Density,SP1v9_Density,Density_Change
123,15203,16804,1601,0.927932,1.025650,0.097719
124,15338,16947,1609,0.936172,1.034379,0.098207
125,15474,17090,1616,0.944472,1.043107,0.098634
126,15610,17233,1623,0.952773,1.051835,0.099062
127,15746,17377,1631,0.961074,1.060624,0.099550
128,15882,15062,-820,0.969375,0.919326,-0.050050
129,16107,15290,-817,0.983108,0.933242,-0.049866
130,16332,15518,-814,0.996841,0.947158,-0.049683
131,16557,15746,-811,1.010575,0.961074,-0.049500
132,16782,15974,-808,1.024308,0.974990,-0.049317
133,17008,16202,-806,1.038102,0.988907,-0.049195
134,17233,16430,-803,1.051835,1.002823,-0.049012
135,17458,16658,-800,1.065568,1.016739,-0.048829
136,17683,16886,-797,1.079301,1.030655,-0.048646
137,17801,17007,-794,1.086503,1.038041,-0.048463
138,17918,17127,-791,1.093645,1.045365,-0.048280
139,18036,17247,-789,1.100847,1.052689,-0.048157
140,18154,17368,-786,1.108049,1.060075,-0.047974
141,18272,17489,-783,1.115251,1.067460,-0.047791
142,18390,17610,-780,1.122454,1.074846,-0.047608
143,18507,17730,-777,1.129595,1.082170,-0.047425
144,18625,17851,-774,1.136797,1.089555,-0.047242
145,18761,17989,-772,1.145098,1.097978,-0.047120
146,18898,18129,-769,1.153460,1.106523,-0.046937
147,19034,18268,-766,1.161761,1.115007,-0.046754
148,19170,18407,-763,1.170062,1.123491,-0.046571
149,19307,18547,-760,1.178424,1.132036,-0.046387
150,19443,18685,-758,1.186725,1.140459,-0.046265
151,19580,18825,-755,1.195087,1.149004,-0.046082
152,19716,18964,-752,1.203388,1.157488,-0.045899
153,19890,19141,-749,1.214008,1.168292,-0.045716
154,20065,19319,-746,1.224689,1.179156,-0.045533
155,20240,19497,-743,1.235370,1.190021,-0.045350
156,20414,19673,-741,1.245991,1.200763,-0.045228
157,20588,19850,-738,1.256611,1.211566,-0.045045
158,20763,20028,-735,1.267292,1.222431,-0.044862
159,20938,20206,-732,1.277974,1.233295,-0.044678
160,21112,20383,-729,1.288594,1.244099,-0.044495
161,21280,20554,-726,1.298848,1.254536,-0.044312
162,21449,20725,-724,1.309163,1.264973,-0.044190
163,21617,20896,-721,1.319417,1.275410,-0.044007
164,21786,21068,-718,1.329732,1.285908,-0.043824
165,21954,21239,-715,1.339986,1.296345,-0.043641
166,22122,21410,-712,1.350240,1.306783,-0.043458
167,22291,21581,-710,1.360555,1.317220,-0.043336
168,22459,21752,-707,1.370809,1.327657,-0.043153
169,22642,21938,-704,1.381979,1.339010,-0.042969
170,22826,22125,-701,1.393210,1.350423,-0.042786
171,23010,22312,-698,1.404440,1.361837,-0.042603
172,23193,22498,-695,1.415610,1.373190,-0.042420
173,23376,22683,-693,1.426780,1.384482,-0.042298
174,23560,22870,-690,1.438010,1.395895,-0.042115
175,23744,23057,-687,1.449241,1.407309,-0.041932
176,23927,23243,-684,1.460410,1.418662,-0.041749
177,24143,23462,-681,1.473594,1.432029,-0.041566
178,24359,23681,-678,1.486778,1.445396,-0.041382
179,24575,23899,-676,1.499962,1.458701,-0.041260
180,24790,24117,-673,1.513085,1.472007,-0.041077
181,25006,24336,-670,1.526268,1.485374,-0.040894
182,25222,24555,-667,1.539452,1.498741,-0.040711
183,25438,24774,-664,1.552636,1.512108,-0.040528
184,25654,24993,-661,1.565820,1.525475,-0.040345
185,25801,25142,-659,1.574792,1.534569,-0.040223
186,25948,25292,-656,1.583764,1.543725,-0.040040
187,26096,25443,-653,1.592798,1.552941,-0.039857
188,26243,25593,-650,1.601770,1.562097,-0.039673
189,26390,25743,-647,1.610742,1.571252,-0.039490
190,26538,25893,-645,1.619776,1.580407,-0.039368
191,26685,26043,-642,1.628748,1.589563,-0.039185
192,26832,26193,-639,1.637720,1.598718,-0.039002
193,27011,26375,-636,1.648646,1.609827,-0.038819
194,27190,26557,-633,1.659571,1.620935,-0.038636
195,27369,26739,-630,1.670497,1.632044,-0.038453
196,27548,26920,-628,1.681422,1.643091,-0.038331
197,27727,27102,-625,1.692348,1.654200,-0.038148
198,27906,27284,-622,1.703273,1.665309,-0.037964
199,28085,27466,-619,1.714199,1.676417,-0.037781
200,28264,27648,-616,1.725124,1.687526,-0.037598
201,28434,27821,-613,1.735500,1.698085,-0.037415
202,28604,27993,-611,1.745876,1.708583,-0.037293
203,28773,28165,-608,1.756191,1.719081,-0.037110
204,28943,28338,-605,1.766567,1.729641,-0.036927
205,29113,28511,-602,1.776944,1.740200,-0.036744
206,29282,28683,-599,1.787259,1.750698,-0.036561
207,29452,28855,-597,1.797635,1.761196,-0.036439
208,29622,29028,-594,1.808011,1.771756,-0.036255
209,29837,29246,-591,1.821134,1.785061,-0.036072
210,30051,29463,-588,1.834195,1.798306,-0.035889
211,30266,29681,-585,1.847318,1.811612,-0.035706
212,30480,29898,-582,1.860380,1.824857,-0.035523
213,30695,30115,-580,1.873503,1.838102,-0.035401
214,30910,30333,-577,1.886625,1.851408,-0.035218
215,31124,30550,-574,1.899687,1.864652,-0.035035
216,31339,30768,-571,1.912810,1.877958,-0.034852
217,31620,31052,-568,1.929961,1.895293,-0.034668
218,31900,31335,-565,1.947051,1.912566,-0.034485
219,32180,31617,-563,1.964141,1.929778,-0.034363
220,32461,31901,-560,1.981292,1.947112,-0.034180
221,32742,32185,-557,1.998444,1.964446,-0.033997
222,33022,32468,-554,2.015534,1.981720,-0.033814
223,33302,32751,-551,2.032624,1.998993,-0.033631
224,33583,33034,-549,2.049775,2.016266,-0.033509
225,33855,33309,-546,2.066377,2.033051,-0.033326
226,34126,33583,-543,2.082918,2.049775,-0.033143
227,34398,33858,-540,2.099519,2.066560,-0.032959
228,34670,34133,-537,2.116121,2.083345,-0.032776
229,34941,34407,-534,2.132662,2.100069,-0.032593
230,35213,34681,-532,2.149264,2.116793,-0.032471
231,35484,34955,-529,2.165805,2.133516,-0.032288
232,35756,35230,-526,2.182406,2.150301,-0.032105
233,35907,35384,-523,2.191623,2.159701,-0.031922
234,36058,35538,-520,2.200839,2.169100,-0.031739
235,36208,35691,-517,2.209995,2.178439,-0.031556
236,36359,35844,-515,2.219211,2.187778,-0.031434
237,36510,35998,-512,2.228428,2.197177,-0.031250
238,36660,36151,-509,2.237583,2.206516,-0.031067
239,36811,36305,-506,2.246799,2.215915,-0.030884
240,36962,36459,-503,2.256016,2.225315,-0.030701
241,37154,36654,-500,2.267735,2.237217,-0.030518
242,37346,36848,-498,2.279454,2.249058,-0.030396
243,37537,37042,-495,2.291112,2.260899,-0.030213
244,37729,37729,0,2.302831,2.302831,0.000000
245,37921,37921,0,2.314549,2.314549,0.000000
246,38112,38112,0,2.326207,2.326207,0.000000
247,38304,38304,0,2.337926,2.337926,0.000000
248,38496,38496,0,2.349645,2.349645,0.000000
249,40981,40981,0,2.501320,2.501320,0.000000
250,43466,43466,0,2.652995,2.652995,0.000000
251,45951,45951,0,2.804669,2.804669,0.000000
252,48436,48436,0,2.956344,2.956344,0.000000
253,50921,50921,0,3.108019,3.108019,0.000000
254,53406,53406,0,3.259693,3.259693,0.000000
255,55891,55891,0,3.411368,3.411368,0.000000
