Input,K,Density_6m45s
0,0,1.38
8,960,1.38
16,1920,1.37
24,2880,1.35
32,3864,1.33
40,4864,1.32
48,5864,1.27
56,6864,1.24
64,7864,1.21
72,8864,1.18
80,9864,1.12
88,10864,1.07
96,11864,0.97
104,12864,0.89
112,13864,0.85
120,14864,0.78
128,15864,0.71
136,16864,0.64
144,17864,0.55
152,18864,0.51
160,19864,0.46
168,20864,0.40
176,21864,0.34
184,22864,0.31
192,23864,0.25
200,24864,0.23
208,25816,0.20
216,26712,0.18
224,27544,0.16
232,28304,0.15
240,29064,0.14
248,29752,0.13
255,30440,0.13
