Input,K,GY,LGY,GY_percent,LGY_percent
0,0,0,0,0.00,0.00
1,517,26,26,5.03,5.03
2,965,48,48,4.97,4.97
3,1352,68,68,5.03,5.03
4,1681,84,84,5.00,5.00
5,1957,98,98,5.01,5.01
6,2185,109,109,4.99,4.99
7,2371,119,119,5.02,5.02
8,2520,126,126,5.00,5.00
9,2636,132,132,5.01,5.01
10,2725,136,136,4.99,4.99
11,2791,140,140,5.02,5.02
12,2839,142,142,5.00,5.00
13,2876,144,144,5.01,5.01
14,2905,145,145,4.99,4.99
15,2931,147,147,5.02,5.02
16,2960,148,148,5.00,5.00
17,2996,150,150,5.01,5.01
18,3038,152,152,5.00,5.00
19,3087,154,154,4.99,4.99
20,3142,157,157,5.00,5.00
21,3201,160,160,5.00,5.00
22,3264,163,163,4.99,4.99
23,3331,167,167,5.01,5.01
24,3400,170,170,5.00,5.00
25,3472,174,174,5.01,5.01
26,3545,177,177,4.99,4.99
27,3622,181,181,5.00,5.00
28,3702,185,185,5.00,5.00
29,3785,189,189,4.99,4.99
30,3872,194,194,5.01,5.01
31,3964,198,198,4.99,4.99
32,4060,203,203,5.00,5.00
33,4161,208,208,5.00,5.00
34,4266,213,213,4.99,4.99
35,4375,219,219,5.01,5.01
36,4486,224,224,4.99,4.99
37,4599,230,230,5.00,5.00
38,4713,236,236,5.01,5.01
39,4827,241,241,4.99,4.99
40,4940,247,247,5.00,5.00
41,5052,253,253,5.01,5.01
42,5163,258,258,5.00,5.00
43,5273,264,264,5.01,5.01
44,5383,269,269,5.00,5.00
45,5492,275,275,5.01,5.01
46,5601,280,280,5.00,5.00
47,5710,286,286,5.01,5.01
48,5820,291,291,5.00,5.00
49,5931,297,297,5.01,5.01
50,6041,302,302,5.00,5.00
51,6153,308,308,5.01,5.01
52,6264,313,313,5.00,5.00
53,6374,319,319,5.00,5.00
54,6484,324,324,5.00,5.00
55,6593,330,330,5.01,5.01
56,6700,335,335,5.00,5.00
57,6806,340,340,5.00,5.00
58,6911,346,346,5.01,5.01
59,7016,351,351,5.00,5.00
60,7123,356,356,5.00,5.00
61,7232,362,362,5.01,5.01
62,7343,367,367,5.00,5.00
63,7459,373,373,5.00,5.00
64,7580,379,379,5.00,5.00
65,7707,385,385,5.00,5.00
66,7838,392,392,5.00,5.00
67,7974,399,399,5.00,5.00
68,8112,406,406,5.00,5.00
69,8253,413,413,5.00,5.00
70,8396,420,420,5.00,5.00
71,8538,427,427,5.00,5.00
72,8680,434,434,5.00,5.00
73,8820,441,441,5.00,5.00
74,8960,448,448,5.00,5.00
75,9098,455,455,5.00,5.00
76,9235,462,462,5.00,5.00
77,9371,469,469,5.00,5.00
78,9508,475,475,5.00,5.00
79,9644,482,482,5.00,5.00
80,9780,489,489,5.00,5.00
81,9917,496,496,5.00,5.00
82,10054,503,503,5.00,5.00
83,10191,510,510,5.00,5.00
84,10329,516,516,5.00,5.00
85,10466,523,523,5.00,5.00
86,10604,530,530,5.00,5.00
87,10742,537,537,5.00,5.00
88,10880,544,544,5.00,5.00
89,11018,551,551,5.00,5.00
90,11155,558,558,5.00,5.00
91,11293,565,565,5.00,5.00
92,11430,572,572,5.00,5.00
93,11568,578,578,5.00,5.00
94,11705,585,585,5.00,5.00
95,11843,592,592,5.00,5.00
96,11980,599,599,5.00,5.00
97,12117,606,606,5.00,5.00
98,12255,613,613,5.00,5.00
99,12392,620,620,5.00,5.00
100,12530,626,626,5.00,5.00
101,12667,633,633,5.00,5.00
102,12805,640,640,5.00,5.00
103,12942,647,647,5.00,5.00
104,13080,654,654,5.00,5.00
105,13218,661,661,5.00,5.00
106,13355,668,668,5.00,5.00
107,13493,675,675,5.00,5.00
108,13630,682,682,5.00,5.00
109,13768,688,688,5.00,5.00
110,13905,695,695,5.00,5.00
111,14043,702,702,5.00,5.00
112,14180,709,709,5.00,5.00
113,14317,716,716,5.00,5.00
114,14455,723,723,5.00,5.00
115,14592,730,730,5.00,5.00
116,14730,736,736,5.00,5.00
117,14867,743,743,5.00,5.00
118,15005,750,750,5.00,5.00
119,15142,757,757,5.00,5.00
120,15280,764,764,5.00,5.00
121,15418,771,771,5.00,5.00
122,15555,778,778,5.00,5.00
