Input,Target_Density
0,1.38
8,1.36
16,1.34
24,1.32
32,1.30
40,1.26
48,1.22
56,1.17
64,1.12
72,1.07
80,1.02
88,0.97
96,0.92
104,0.87
112,0.82
120,0.77
128,0.72
136,0.67
144,0.62
152,0.57
160,0.52
168,0.47
176,0.42
184,0.37
192,0.32
200,0.28
208,0.25
216,0.23
224,0.21
232,0.19
240,0.17
248,0.15
255,0.13
