Input,K
0,0
8,960
16,1920
24,2880
32,3864
40,4864
48,5864
56,6864
64,7864
72,8864
80,9864
88,10864
96,11864
104,12864
112,13864
120,14864
128,15864
136,16864
144,17864
152,18864
160,19864
168,20864
176,21864
184,22864
192,23864
200,24864
208,25816
216,26712
224,27544
232,28304
240,29064
248,29752
